,OperatingExpenses,Assets
June 2014,1708000.0,
September 2014,1708000.0,
December 2014,1708000.0,
March 2015,3959000.0,
June 2015,3959000.0,
September 2015,5672000.0,
December 2015,6967000.0,543667000.0
March 2016,6873000.0,
June 2016,7014000.0,
September 2016,6510000.0,530002000.0
December 2016,6895000.0,519753000.0
March 2017,7293000.0,528695000.0
June 2017,7286000.0,536578000.0
September 2017,7386000.0,570833000.0
December 2017,7296000.0,581603000.0
March 2018,8011000.0,597678000.0
June 2018,10591000.0,628342000.0
September 2018,7685000.0,628209000.0
December 2018,,632789000.0
March 2019,,643159000.0
