,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,14586500.0,7196750.0,
June 2009,14586500.0,7196750.0,
September 2009,14586500.0,7196750.0,
December 2009,14586500.0,7196750.0,
March 2010,10189000.0,6944000.0,
June 2010,13389000.0,10767000.0,
September 2010,20053000.0,13077000.0,
December 2010,20659000.0,6196000.0,766230000.0
March 2011,15072000.0,13898000.0,
June 2011,14699000.0,7549000.0,896737000.0
September 2011,18827000.0,975000.0,966948000.0
December 2011,19236000.0,-2313000.0,894026000.0
March 2012,17844000.0,9873000.0,936656000.0
June 2012,17499000.0,7777000.0,1116173000.0
September 2012,24262000.0,8256000.0,979912000.0
December 2012,31588000.0,4406000.0,925735000.0
March 2013,21210000.0,11959000.0,964123000.0
June 2013,22869000.0,17029000.0,1001799000.0
September 2013,24920000.0,14407000.0,972344000.0
December 2013,22989000.0,15582000.0,920090000.0
March 2014,24363000.0,13549000.0,901432000.0
June 2014,28901000.0,17126000.0,950402000.0
September 2014,32167000.0,21341000.0,940265000.0
December 2014,32966000.0,20972000.0,911774000.0
March 2015,32197000.0,22330000.0,967157000.0
June 2015,42667000.0,24704000.0,1047367000.0
September 2015,55289000.0,30298000.0,1078366000.0
December 2015,53629000.0,29152000.0,993548000.0
March 2016,57230000.0,25226000.0,1028996000.0
June 2016,54825000.0,33647000.0,1149509000.0
September 2016,54725000.0,26882000.0,1234222000.0
December 2016,54397000.0,13655000.0,1060007000.0
March 2017,56933000.0,31199000.0,1060439000.0
June 2017,57380000.0,29376000.0,1370059000.0
September 2017,57269000.0,9964000.0,1857061000.0
December 2017,59422000.0,36396000.0,1454999000.0
March 2018,63875000.0,40055000.0,1295707000.0
June 2018,58698000.0,46084000.0,1711277000.0
September 2018,69041000.0,37380000.0,1723269000.0
December 2018,64874000.0,-6468000.0,1858390000.0
March 2019,69748000.0,40148000.0,1697869000.0
June 2019,69496000.0,37293000.0,2064123000.0
September 2019,69174000.0,20146000.0,1829278000.0
December 2019,64010000.0,-51073000.0,1719852000.0
March 2020,72643000.0,20067000.0,1545513000.0
June 2020,73921000.0,19882000.0,2046899000.0
September 2020,76980000.0,-3169000.0,2050184000.0
December 2020,66185000.0,-17675000.0,1758741000.0
March 2021,82423000.0,26408000.0,1717453000.0
June 2021,81901000.0,21941000.0,2341535000.0
September 2021,73209000.0,20183000.0,2143228000.0
December 2021,76700000.0,-48125000.0,2056141000.0
March 2022,78297000.0,17537000.0,1748955000.0
June 2022,79291000.0,7370000.0,2382768000.0
