,OperatingExpenses,NetIncomeLoss
December 2007,9494.4,-9494.4
March 2008,9494.4,-9494.4
June 2008,9494.4,-9494.4
September 2008,9494.4,-9494.4
December 2008,9494.4,-9494.4
March 2009,9494.4,-9494.4
June 2009,9494.4,-9494.4
September 2009,9494.4,-9494.4
December 2009,9494.4,-9494.4
March 2010,8620.0,-8620.0
June 2010,12668.0,-12668.0
September 2010,5152.0,-5152.0
December 2010,9494.4,-9494.4
March 2011,8942.0,-8942.0
June 2011,14621.0,-14621.0
September 2011,5136.0,-5136.0
