,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
September 2016,,9500.0,-15474.5,
December 2016,,9500.0,-15474.5,6926434.0
March 2017,181250.0,28750.0,87892.0,
June 2017,181250.0,28750.0,-176917.0,23098842.0
September 2017,181250.0,28000.0,-35900.0,38191984.0
December 2017,181250.0,10500.0,205598.0,61142000.0
March 2018,919750.0,,496000.0,90261984.0
June 2018,919750.0,,543463.0,193981515.0
September 2018,919750.0,,1340000.0,259984000.0
December 2018,919750.0,,-310463.0,372023000.0
March 2019,1981000.0,,3620000.0,453525000.0
June 2019,2445000.0,,2484000.0,614239000.0
September 2019,2269000.0,,3256000.0,615008000.0
December 2019,844000.0,,4345000.0,703319000.0
March 2020,1565000.0,,-37858000.0,719935000.0
June 2020,3426000.0,,1006000.0,614658000.0
September 2020,3521000.0,,6056000.0,565818000.0
December 2020,4507000.0,,2012000.0,554991000.0
March 2021,4060000.0,,1365000.0,569239000.0
June 2021,3438000.0,,3298000.0,648934000.0
September 2021,5174000.0,,2462000.0,698436000.0
December 2021,5751000.0,,2748000.0,764428000.0
March 2022,5228000.0,,2362000.0,847326000.0
June 2022,6170000.0,,3277000.0,903523000.0
