,OperatingExpenses,Assets
March 2009,3030581.75,
June 2009,3030581.75,
September 2009,3030581.75,
December 2009,3030581.75,
March 2010,2501175.0,
June 2010,2426313.0,
September 2010,2303858.0,
December 2010,2134882.0,231101817.0
March 2011,2240415.0,
June 2011,2105330.0,199713312.0
September 2011,2012518.0,197098131.0
December 2011,1855609.0,184903007.0
March 2012,1692027.0,163894916.0
June 2012,1560137.0,147654680.0
September 2012,1454943.0,139164168.0
December 2012,1265309.0,123232521.0
March 2013,1181722.0,116070947.0
June 2013,1060726.0,98145834.0
September 2013,906306.0,86605046.0
December 2013,824562.0,78347255.0
March 2014,671121.0,65133515.0
June 2014,630283.0,62084351.0
September 2014,593452.0,59057209.0
December 2014,600129.0,60768672.0
March 2015,619475.0,61946716.0
June 2015,554463.0,52058191.0
