,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,2620500.0,-2135750.0,,,
June 2017,2620500.0,-2135750.0,,,
September 2017,2620500.0,-2135750.0,,,
December 2017,2620500.0,-2135750.0,,,
March 2018,12638250.0,-4836000.0,,,
June 2018,12638250.0,14962000.0,,,
September 2018,12638250.0,-12022000.0,,,
December 2018,12638250.0,-25587000.0,554582000.0,268815000.0,285767000.0
March 2019,37333000.0,-23377000.0,,,
June 2019,53273000.0,-37541000.0,,,
September 2019,56285000.0,-38716000.0,,,
December 2019,74997000.0,-50634000.0,691677000.0,55335000.0,636342000.0
March 2020,261236000.0,-171954000.0,533729000.0,68122000.0,465607000.0
June 2020,50546000.0,-37192000.0,547211000.0,139363000.0,407848000.0
September 2020,52055000.0,-40548000.0,600264000.0,162897000.0,437367000.0
December 2020,50132000.0,-36895000.0,562053000.0,148020000.0,414033000.0
March 2021,18815000.0,-7809000.0,571366000.0,159337000.0,412029000.0
June 2021,30632000.0,-2553000.0,509878000.0,97956000.0,411922000.0
September 2021,30299000.0,-12297000.0,508968000.0,98780000.0,410188000.0
December 2021,63207000.0,-40351000.0,491551000.0,112979000.0,378572000.0
March 2022,32232000.0,-12694000.0,497813000.0,103654000.0,394159000.0
June 2022,27304000.0,-9929000.0,493192000.0,106107000.0,387085000.0
