,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,9450000.0,7000000.0,
June 2009,9450000.0,7000000.0,
September 2009,9450000.0,7000000.0,
December 2009,9450000.0,7000000.0,
March 2010,9800000.0,9100000.0,
June 2010,10000000.0,9400000.0,
September 2010,10400000.0,9900000.0,
December 2010,9800000.0,15700000.0,3947900000.0
March 2011,10300000.0,14600000.0,
June 2011,10800000.0,16200000.0,4180000000.0
September 2011,10500000.0,18300000.0,4608800000.0
December 2011,10900000.0,18900000.0,5250100000.0
March 2012,11300000.0,19000000.0,5617300000.0
June 2012,11200000.0,20700000.0,6156300000.0
September 2012,10200000.0,22000000.0,6382000000.0
December 2012,10100000.0,22000000.0,6537700000.0
March 2013,10700000.0,22700000.0,6615000000.0
June 2013,10700000.0,22400000.0,6679800000.0
September 2013,10800000.0,25400000.0,7009400000.0
December 2013,10500000.0,28700000.0,7247600000.0
March 2014,11000000.0,24700000.0,7274500000.0
June 2014,11300000.0,26000000.0,7461300000.0
September 2014,11500000.0,26100000.0,7616800000.0
December 2014,11100000.0,31800000.0,7785900000.0
March 2015,11900000.0,29200000.0,7924100000.0
June 2015,11800000.0,27600000.0,8057500000.0
September 2015,11900000.0,28300000.0,8190200000.0
December 2015,11600000.0,27700000.0,8050400000.0
March 2016,12400000.0,24300000.0,7930200000.0
June 2016,12400000.0,21000000.0,8085200000.0
September 2016,12700000.0,21600000.0,8383000000.0
December 2016,12000000.0,22000000.0,8330500000.0
March 2017,13000000.0,12500000.0,8052700000.0
June 2017,13300000.0,13100000.0,8137100000.0
September 2017,13300000.0,14500000.0,8260800000.0
December 2017,13300000.0,351100000.0,8352600000.0
March 2018,13800000.0,20400000.0,8397700000.0
June 2018,13900000.0,19800000.0,8515800000.0
September 2018,13800000.0,23700000.0,9074800000.0
December 2018,14900000.0,28600000.0,9295300000.0
March 2019,15300000.0,29600000.0,9541500000.0
June 2019,15500000.0,29300000.0,9840700000.0
September 2019,16400000.0,21400000.0,10205200000.0
December 2019,17000000.0,22900000.0,10440800000.0
March 2020,14600000.0,17900000.0,10787400000.0
June 2020,12200000.0,20400000.0,9993000000.0
September 2020,14200000.0,19800000.0,10254600000.0
December 2020,14000000.0,22700000.0,10210500000.0
March 2021,13600000.0,25500000.0,9914400000.0
June 2021,14500000.0,36100000.0,9854200000.0
September 2021,14800000.0,42700000.0,9218500000.0
December 2021,14400000.0,43800000.0,9398100000.0
March 2022,14900000.0,56800000.0,9484800000.0
June 2022,15200000.0,45600000.0,9933400000.0
