,NetIncomeLoss,Assets
March 2009,-10447250.0,
June 2009,-10447250.0,
September 2009,-10447250.0,
December 2009,-10447250.0,
March 2010,-1534000.0,
June 2010,-3419000.0,2421910000.0
September 2010,-897000.0,2434703000.0
December 2010,1861000.0,2972168000.0
March 2011,1378000.0,2918423000.0
June 2011,2114000.0,2857237000.0
September 2011,16460000.0,3010379000.0
December 2011,1141000.0,2994307000.0
March 2012,5365000.0,3043234000.0
June 2012,2495000.0,2920311000.0
September 2012,1903000.0,2949383000.0
December 2012,4672000.0,3019052000.0
March 2013,5285000.0,2861651000.0
June 2013,6678000.0,2808675000.0
September 2013,6677000.0,2818502000.0
December 2013,1378000.0,3667649000.0
March 2014,8350000.0,3487984000.0
June 2014,8130000.0,3973135000.0
September 2014,11663000.0,3999408000.0
December 2014,10580000.0,4037077000.0
March 2015,9764000.0,4152904000.0
June 2015,1308000.0,5205734000.0
September 2015,15627000.0,5216300000.0
December 2015,14148000.0,5588940000.0
March 2016,12317000.0,6097771000.0
June 2016,20049000.0,6221294000.0
September 2016,21557000.0,6493495000.0
December 2016,18177000.0,6892031000.0
March 2017,21153000.0,7094856000.0
June 2017,23087000.0,7397858000.0
September 2017,20158000.0,7649820000.0
December 2017,9150000.0,7856203000.0
March 2018,26660000.0,8022828000.0
June 2018,9387000.0,11190697000.0
September 2018,41444000.0,11428994000.0
December 2018,43536000.0,11443515000.0
March 2019,39905000.0,11656275000.0
June 2019,38904000.0,11889336000.0
September 2019,21384000.0,17764277000.0
December 2019,61248000.0,18242579000.0
March 2020,19322000.0,18224548000.0
June 2020,32236000.0,19872629000.0
September 2020,116145000.0,19873851000.0
December 2020,94285000.0,20438638000.0
March 2021,124962000.0,21427127000.0
June 2021,88327000.0,21886931000.0
September 2021,81680000.0,22533141000.0
December 2021,81944000.0,23858321000.0
March 2022,81698000.0,23560292000.0
June 2022,90066000.0,23687470000.0
