,OperatingExpenses,NetIncomeLoss,Assets
March 2009,-225223.25,-109730.25,
June 2009,-225223.25,-109730.25,
September 2009,-225223.25,-109730.25,
December 2009,-225223.25,-109730.25,
March 2010,225223.25,-477356.0,
June 2010,225223.25,-689572.0,
September 2010,225223.25,-696248.0,
December 2010,225223.25,-443694.0,7034024.0
March 2011,677415.0,-2413681.0,
June 2011,598621.0,-701730.0,6001961.0
September 2011,584590.0,-662354.0,5904446.0
December 2011,2034478.0,-537566.0,5916882.0
March 2012,420845.0,-450067.0,5486637.0
June 2012,542811.0,4907003.0,63560939.0
September 2012,1614634.0,-719870.0,63462234.0
December 2012,7571921.0,183775.0,156631431.0
March 2013,4049779.0,-1226132.0,157013499.0
June 2013,3724311.0,-1196165.0,159237711.0
September 2013,3052286.0,531713.0,167892519.0
December 2013,2368624.0,-1080417.0,172526000.0
March 2014,3349000.0,-1047000.0,156407436.0
June 2014,11280829.0,-4535993.0,344281627.0
September 2014,10366068.0,-2146591.0,337749064.0
December 2014,9340103.0,2557584.0,346086000.0
March 2015,9456000.0,3313000.0,450575000.0
June 2015,9768000.0,-582000.0,516537000.0
September 2015,11572000.0,-574000.0,571354000.0
December 2015,15082000.0,-1523000.0,702762000.0
March 2016,17799000.0,-4135000.0,790690000.0
June 2016,18546000.0,-5043000.0,859031000.0
September 2016,19389000.0,-2551000.0,962906000.0
December 2016,22349000.0,-7260000.0,1241322000.0
March 2017,28654000.0,-4990000.0,1346172000.0
June 2017,29250000.0,17569000.0,1440783000.0
September 2017,29937000.0,-12017000.0,1535197000.0
December 2017,80382000.0,-46241000.0,1690547000.0
March 2018,37170000.0,-9425000.0,1759828000.0
June 2018,37323000.0,-10212000.0,1838165000.0
September 2018,39248000.0,-10334000.0,1879588000.0
December 2018,41287000.0,-12785000.0,2018135000.0
March 2019,42732000.0,-12093000.0,2013447000.0
June 2019,41736000.0,-10990000.0,2135708000.0
September 2019,44809000.0,17160000.0,2090483000.0
December 2019,43987000.0,-13827000.0,2340697000.0
March 2020,49154000.0,-16493000.0,2484617000.0
June 2020,45558000.0,15090000.0,2506252000.0
September 2020,48161000.0,-17058000.0,2442219000.0
December 2020,46161000.0,-26213000.0,2489937000.0
March 2021,48591000.0,23581000.0,2415525000.0
June 2021,46680000.0,-5429000.0,2456835000.0
September 2021,47010000.0,12544000.0,2466673000.0
December 2021,48398000.0,-27223000.0,2599333000.0
March 2022,51747000.0,-15396000.0,2584015000.0
June 2022,52690000.0,-17274000.0,2642101000.0
