,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,9816500.0,,
June 2009,9816500.0,,
September 2009,9816500.0,,
December 2009,9816500.0,,
March 2010,16119000.0,,
June 2010,4506000.0,,
September 2010,4506000.0,,
December 2010,13815000.0,1772998000.0,147890000.0
March 2011,8995000.0,,
June 2011,12091000.0,,
September 2011,2887000.0,1788290000.0,165227000.0
December 2011,28409000.0,1732474000.0,136217000.0
March 2012,10550000.0,1741477000.0,153001000.0
June 2012,10096000.0,1746607000.0,165551000.0
September 2012,-417000.0,1749554000.0,187429000.0
December 2012,25114000.0,1719596000.0,168067000.0
March 2013,9908000.0,1694593000.0,150315000.0
June 2013,10589000.0,1716088000.0,157732000.0
September 2013,661000.0,1737471000.0,166903000.0
December 2013,42915000.0,1735305000.0,176419000.0
