,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2005,,380166.6666666667,226277.77777777778,-38000.0,,
December 2005,,380166.6666666667,226277.77777777778,-38000.0,,
March 2006,,380166.6666666667,226277.77777777778,-265000.0,,
June 2006,,380166.6666666667,226277.77777777778,-265000.0,,
September 2006,,380166.6666666667,226277.77777777778,-265000.0,,
December 2006,,380166.6666666667,226277.77777777778,-265000.0,,
March 2007,,380166.6666666667,226277.77777777778,-760250.0,,
June 2007,,380166.6666666667,226277.77777777778,-760250.0,,
September 2007,,380166.6666666667,226277.77777777778,-760250.0,,
December 2007,,380166.6666666667,226277.77777777778,-760250.0,,
March 2008,,380166.6666666667,226277.77777777778,-1296250.0,,
June 2008,,380166.6666666667,226277.77777777778,-1296250.0,,
September 2008,,380166.6666666667,226277.77777777778,-1296250.0,,
December 2008,,380166.6666666667,226277.77777777778,-1296250.0,,
March 2009,,380166.6666666667,226277.77777777778,-591500.0,,
June 2009,,380166.6666666667,226277.77777777778,-591500.0,,
September 2009,,380166.6666666667,226277.77777777778,-591500.0,,
December 2009,,380166.6666666667,226277.77777777778,-591500.0,,
March 2010,,350000.0,428000.0,-905000.0,,
June 2010,,730000.0,619000.0,-1373000.0,,
September 2010,,1026000.0,712000.0,-1764000.0,,
December 2010,,622000.0,858000.0,-1261000.0,3694000.0,3304000.0
March 2011,,656000.0,653000.0,-1334000.0,,
June 2011,,849000.0,467000.0,-1322000.0,1263000.0,896000.0
September 2011,,975000.0,506000.0,-1493000.0,1036000.0,603000.0
December 2011,,887000.0,680000.0,-1609000.0,993000.0,507000.0
March 2012,,1177000.0,915000.0,-2137000.0,5091000.0,4644000.0
June 2012,,769000.0,1068000.0,-2002000.0,,
September 2012,,557000.0,822000.0,-1378000.0,2300000.0,1942000.0
December 2012,,3780000.0,587000.0,-9908000.0,2420000.0,2086000.0
March 2013,,2781000.0,401000.0,-4777000.0,3904000.0,3605000.0
June 2013,,372000.0,591000.0,-960000.0,2914000.0,2648000.0
September 2013,,2909000.0,,-11265000.0,125933000.0,27060000.0
December 2013,,6638000.0,,-11356000.0,116714000.0,17755000.0
March 2014,,5011000.0,,-7479000.0,108889000.0,10176000.0
June 2014,,7882000.0,,-10587000.0,152795000.0,53719000.0
September 2014,,9067000.0,,-11507000.0,144920000.0,45482000.0
December 2014,,5984000.0,,-8079000.0,135111000.0,35640000.0
March 2015,,7484000.0,,-10120000.0,128351000.0,29074000.0
June 2015,,6579000.0,,-9348000.0,170550000.0,71707000.0
September 2015,,7048000.0,,-13901000.0,268432000.0,61862000.0
December 2015,,8558000.0,,-13579000.0,248602000.0,49143000.0
March 2016,,8385000.0,,-12913000.0,267776000.0,64286000.0
June 2016,,6364000.0,,-80131000.0,210196000.0,75963000.0
September 2016,,7011000.0,,-12944000.0,197032000.0,53548000.0
December 2016,,7513000.0,,-13992000.0,176249000.0,38016000.0
March 2017,,6855000.0,,-15414000.0,166352000.0,28846000.0
June 2017,,5070000.0,,-14713000.0,185839000.0,48114000.0
September 2017,,4889000.0,,-38513000.0,183724000.0,44273000.0
December 2017,,5175000.0,,-76156000.0,250251000.0,112994000.0
March 2018,,5265000.0,,-882000.0,246175000.0,109520000.0
June 2018,,5281000.0,,-34248000.0,242747000.0,118340000.0
September 2018,,4838000.0,,-20206000.0,227559000.0,106419000.0
December 2018,,6439000.0,,-6441000.0,239307000.0,101583000.0
March 2019,21640000.0,5655000.0,,-22525000.0,216976000.0,82422000.0
June 2019,22197000.0,6295000.0,,-20171000.0,203378000.0,69305000.0
September 2019,96427000.0,5884000.0,,-97771000.0,97634000.0,46899000.0
December 2019,2111000.0,4634000.0,,-13734000.0,74779000.0,27955000.0
March 2020,16014000.0,3934000.0,,-16598000.0,84230000.0,39937000.0
June 2020,13608000.0,4257000.0,,-13840000.0,75974000.0,34312000.0
September 2020,14553000.0,4673000.0,,-15082000.0,80144000.0,37503000.0
December 2020,14223000.0,3757000.0,,-13792000.0,78258000.0,34013000.0
March 2021,14384000.0,4215000.0,,-17340000.0,223615000.0,182325000.0
June 2021,14839000.0,4089000.0,,-13172000.0,212004000.0,174007000.0
September 2021,16659000.0,4469000.0,,-16069000.0,199759000.0,134807000.0
December 2021,15873000.0,6575000.0,,-15881000.0,186473000.0,113297000.0
March 2022,18196000.0,6428000.0,,-19128000.0,166560000.0,118684000.0
June 2022,18214000.0,7253000.0,,-19619000.0,147350000.0,108562000.0
