,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,6596250.0,-40915250.0,,
June 2009,6596250.0,-40915250.0,,
September 2009,6596250.0,-40915250.0,,
December 2009,6596250.0,-40915250.0,,
March 2010,2020000.0,-22714000.0,,
June 2010,1946000.0,-22128000.0,,
September 2010,2788000.0,-21859000.0,,
December 2010,4814000.0,-21205000.0,108817000.0,31531000.0
March 2011,4278000.0,-21826000.0,,
June 2011,4378000.0,-19342000.0,100558000.0,26753000.0
September 2011,4217000.0,-17379000.0,94041000.0,21280000.0
December 2011,4199000.0,-22657000.0,123087000.0,50604000.0
March 2012,3783000.0,-14350000.0,110185000.0,40223000.0
