,Assets,AssetsCurrent
March 2009,,
June 2009,5674000000.0,1170000000.0
September 2009,5354000000.0,916000000.0
December 2009,5063000000.0,677000000.0
March 2010,5152000000.0,773000000.0
June 2010,4997000000.0,642000000.0
September 2010,5032000000.0,700000000.0
December 2010,4942000000.0,680000000.0
March 2011,4942000000.0,696000000.0
June 2011,4857000000.0,649000000.0
September 2011,4850000000.0,644000000.0
December 2011,4190000000.0,610000000.0
March 2012,4129000000.0,580000000.0
June 2012,4062000000.0,500000000.0
September 2012,3872000000.0,422000000.0
December 2012,,
March 2013,,
June 2013,,
September 2013,,
December 2013,1806000000.0,273000000.0
March 2014,1944000000.0,430000000.0
