,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,68534750.0,,
June 2009,68534750.0,,
September 2009,68534750.0,,
December 2009,68534750.0,,
March 2010,67248000.0,,
June 2010,84864000.0,,
September 2010,70354000.0,,
December 2010,75953000.0,,
March 2011,65589000.0,,
June 2011,62038000.0,,
September 2011,59559000.0,,
December 2011,70002000.0,,
March 2012,64626000.0,,
June 2012,62122000.0,,
September 2012,64746000.0,,
December 2012,71075000.0,,
March 2013,65117000.0,,
June 2013,62245000.0,,
September 2013,64107000.0,,
December 2013,69824000.0,,
March 2014,62143000.0,,
June 2014,61738000.0,,
September 2014,66751000.0,,
December 2014,74739000.0,,
March 2015,68492000.0,,
June 2015,66698000.0,,
September 2015,68612000.0,,
December 2015,69158000.0,,
March 2016,65285000.0,,
June 2016,65710000.0,,
September 2016,66087000.0,,
December 2016,82280000.0,,
March 2017,68274000.0,,
June 2017,63405000.0,,
September 2017,66980000.0,,
December 2017,77240000.0,,
March 2018,66486000.0,,
June 2018,66317000.0,,
September 2018,66802000.0,,
December 2018,71338000.0,,
March 2019,65092000.0,,
June 2019,67208000.0,,
September 2019,67664000.0,,
December 2019,73492000.0,,
