,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,20156000.0,6524000.0,-1801000.0,,,
June 2017,20505000.0,7139000.0,-1333000.0,,,
September 2017,22353000.0,7545000.0,-1593000.0,,,
December 2017,,,,223283000.0,190348000.0,32935000.0
March 2018,25798000.0,8934000.0,-1273000.0,220542000.0,182384000.0,38158000.0
June 2018,27743000.0,9871000.0,-310000.0,232912000.0,195139000.0,37773000.0
September 2018,31289000.0,11049000.0,-2423000.0,245112000.0,200429000.0,44683000.0
