,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2016,24182000.0,1233000.0,
June 2016,24182000.0,1233000.0,
September 2016,24182000.0,1233000.0,
December 2016,24182000.0,1233000.0,
March 2017,24770000.0,4384000.0,
June 2017,23546000.0,-8385000.0,
September 2017,36432000.0,-4607000.0,
December 2017,26197000.0,8000000.0,2394897000.0
March 2018,31947000.0,-8639000.0,2493755000.0
June 2018,27482000.0,29406000.0,2475475000.0
September 2018,27323000.0,24540000.0,2580231000.0
December 2018,28008000.0,2678000.0,2532428000.0
March 2019,31117000.0,-4629000.0,2587729000.0
June 2019,32669000.0,4891000.0,4162457000.0
September 2019,32476000.0,27091000.0,4142191000.0
December 2019,33048000.0,20809000.0,4170683000.0
March 2020,36893000.0,23511000.0,4503392000.0
June 2020,32340000.0,32662000.0,4612776000.0
September 2020,35969000.0,12374000.0,4618106000.0
December 2020,39536000.0,-44007000.0,7831151000.0
March 2021,45052000.0,-14414000.0,7540008000.0
June 2021,42475000.0,-13370000.0,7823320000.0
September 2021,45545000.0,5294000.0,8127554000.0
December 2021,49004000.0,-7965000.0,8216197000.0
March 2022,57602000.0,-17407000.0,8207869000.0
June 2022,56273000.0,3935000.0,8135326000.0
