,NetIncomeLoss,Assets,AssetsCurrent
March 2017,2466750.0,,
June 2017,2466750.0,,
September 2017,2466750.0,,
December 2017,2466750.0,,
March 2018,3381000.0,,
June 2018,4161000.0,,
September 2018,4372000.0,,
December 2018,3770000.0,98151000.0,29123000.0
March 2019,1334000.0,,
June 2019,3487000.0,,
September 2019,1524000.0,363028000.0,33901000.0
December 2019,-3799000.0,447750000.0,38683000.0
March 2020,2980000.0,458987000.0,46007000.0
June 2020,4337000.0,469246000.0,52430000.0
September 2020,4407000.0,480110000.0,53451000.0
December 2020,4020000.0,506976000.0,59599000.0
March 2021,950000.0,519324000.0,71699000.0
June 2021,2650000.0,529809000.0,73478000.0
September 2021,1245000.0,529200000.0,74959000.0
December 2021,-2149000.0,530297000.0,75841000.0
March 2022,1014000.0,507436000.0,81512000.0
June 2022,-2676000.0,496431000.0,74637000.0
