,NetIncomeLoss,AssetsCurrent
June 2011,0.0,
September 2011,0.0,
December 2011,0.0,
March 2012,-1800.0,200.0
June 2012,-1800.0,
September 2012,-1800.0,200.0
December 2012,-1368.0,32.0
March 2013,1152.0,
June 2013,-1800.0,
September 2013,1768.0,
December 2013,0.0,
March 2014,-750.0,
June 2014,-1625.0,
September 2014,0.0,
December 2014,0.0,
March 2015,48.0,
