,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2006,820250000.0,313000000.0,,
March 2007,820250000.0,313000000.0,,
June 2007,820250000.0,313000000.0,,
September 2007,820250000.0,313000000.0,,
December 2007,919000000.0,262000000.0,,
March 2008,919000000.0,262000000.0,,
June 2008,877000000.0,439000000.0,25243000000.0,11093000000.0
September 2008,850000000.0,16000000.0,24987000000.0,10676000000.0
December 2008,859000000.0,-608000000.0,22304000000.0,8717000000.0
March 2009,803000000.0,-193000000.0,21724000000.0,8452000000.0
June 2009,787000000.0,163000000.0,22466000000.0,8739000000.0
September 2009,761000000.0,300000000.0,24088000000.0,9826000000.0
December 2009,883000000.0,350000000.0,23805000000.0,9676000000.0
March 2010,847000000.0,274000000.0,23809000000.0,9904000000.0
June 2010,895000000.0,418000000.0,24086000000.0,10118000000.0
September 2010,1171000000.0,265000000.0,25743000000.0,10652000000.0
December 2010,947000000.0,375000000.0,25993000000.0,10715000000.0
March 2011,1014000000.0,354000000.0,28668000000.0,12206000000.0
June 2011,1094000000.0,357000000.0,29869000000.0,12558000000.0
September 2011,1338000000.0,329000000.0,29676000000.0,12015000000.0
December 2011,1054000000.0,410000000.0,29683000000.0,11837000000.0
March 2012,1050000000.0,379000000.0,30973000000.0,12362000000.0
June 2012,992000000.0,417000000.0,31002000000.0,12566000000.0
September 2012,1342000000.0,20000000.0,30954000000.0,12673000000.0
December 2012,1052000000.0,354000000.0,31232000000.0,12828000000.0
March 2013,1091000000.0,148000000.0,31857000000.0,12826000000.0
June 2013,991000000.0,571000000.0,31820000000.0,12739000000.0
September 2013,493000000.0,105000000.0,31518000000.0,13698000000.0
December 2013,1038000000.0,469000000.0,30832000000.0,12726000000.0
March 2014,952000000.0,261000000.0,31217000000.0,13059000000.0
June 2014,977000000.0,176000000.0,33074000000.0,13447000000.0
September 2014,1249000000.0,309000000.0,32804000000.0,13107000000.0
December 2014,1005000000.0,507000000.0,31606000000.0,11862000000.0
March 2015,975000000.0,529000000.0,30960000000.0,11721000000.0
June 2015,975000000.0,178000000.0,31968000000.0,12459000000.0
September 2015,1031000000.0,349000000.0,29622000000.0,10469000000.0
December 2015,1082000000.0,450000000.0,31019000000.0,10921000000.0
March 2016,1144000000.0,-530000000.0,31199000000.0,11058000000.0
June 2016,1185000000.0,383000000.0,31879000000.0,11847000000.0
September 2016,1689000000.0,-1150000000.0,35000000000.0,13171000000.0
