,OperatingExpenses,NetIncomeLoss,Assets,AssetsNoncurrent
December 2008,3058.2,-3166.0,,
March 2009,3058.2,-3031.25,,
June 2009,3058.2,-3031.25,,
September 2009,3058.2,-3031.25,,
December 2009,3058.2,-3031.25,,
March 2010,2500.0,-13068.75,,
June 2010,12900.0,-13068.75,,
September 2010,1500.0,-13068.75,,
December 2010,35375.0,-13068.75,39056.0,39056.0
March 2011,19334.0,-19334.0,,
June 2011,6600.0,-6600.0,62222.0,62222.0
September 2011,3800.0,-55086.0,62222.0,62222.0
December 2011,106372.0,-55086.0,20000.0,20000.0
March 2012,9300.0,-9300.0,20000.0,20000.0
June 2012,9900.0,-9900.0,20000.0,20000.0
September 2012,,,,
