,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2008,,42225000.0,48700000.0,
June 2008,,42225000.0,48700000.0,
September 2008,,42225000.0,48700000.0,
December 2008,,42225000.0,48700000.0,
March 2009,131050000.0,33100000.0,27600000.0,
June 2009,131050000.0,34000000.0,12700000.0,
September 2009,131050000.0,34800000.0,19600000.0,
December 2009,131050000.0,25900000.0,21500000.0,5206400000.0
March 2010,145800000.0,33500000.0,18700000.0,
June 2010,145800000.0,32800000.0,21500000.0,5083000000.0
September 2010,145800000.0,31000000.0,21100000.0,5133500000.0
December 2010,145800000.0,37500000.0,19500000.0,5442400000.0
March 2011,126500000.0,36400000.0,19900000.0,5498700000.0
June 2011,160200000.0,37400000.0,26400000.0,5642500000.0
September 2011,165700000.0,38500000.0,32900000.0,5756500000.0
December 2011,180500000.0,43000000.0,31600000.0,5857500000.0
March 2012,116800000.0,38100000.0,30300000.0,5792900000.0
June 2012,260200000.0,38900000.0,23500000.0,6055400000.0
September 2012,174600000.0,38600000.0,53800000.0,6125100000.0
December 2012,452500000.0,44600000.0,29700000.0,6055400000.0
March 2013,220800000.0,42000000.0,27100000.0,6144700000.0
June 2013,281500000.0,45800000.0,35100000.0,6119200000.0
September 2013,281100000.0,42000000.0,53800000.0,6339100000.0
December 2013,289200000.0,48500000.0,53300000.0,6549600000.0
March 2014,223000000.0,42700000.0,42100000.0,7119000000.0
June 2014,288600000.0,44900000.0,53100000.0,6921100000.0
September 2014,303500000.0,45800000.0,51300000.0,6816300000.0
December 2014,320000000.0,55800000.0,58500000.0,6919900000.0
March 2015,239400000.0,45700000.0,62200000.0,7056400000.0
June 2015,276700000.0,44600000.0,45400000.0,6860000000.0
September 2015,282400000.0,44400000.0,39500000.0,6904700000.0
December 2015,292000000.0,57700000.0,58200000.0,6894200000.0
March 2016,224500000.0,38800000.0,69300000.0,7062000000.0
June 2016,273900000.0,40900000.0,61200000.0,7090600000.0
September 2016,272100000.0,48100000.0,95700000.0,7089300000.0
December 2016,280500000.0,46900000.0,30900000.0,7105400000.0
March 2017,231100000.0,42900000.0,57500000.0,7096900000.0
June 2017,266300000.0,43100000.0,53400000.0,7272100000.0
September 2017,269200000.0,42800000.0,49000000.0,7261900000.0
December 2017,278400000.0,52700000.0,342100000.0,7422400000.0
March 2018,237600000.0,44900000.0,76300000.0,7468000000.0
June 2018,268700000.0,46200000.0,38800000.0,7495500000.0
September 2018,265300000.0,46500000.0,47000000.0,7517400000.0
December 2018,276800000.0,53500000.0,49200000.0,7616700000.0
March 2019,241000000.0,46100000.0,41500000.0,8240200000.0
June 2019,277100000.0,45100000.0,68000000.0,8353100000.0
September 2019,273500000.0,42600000.0,45100000.0,8090900000.0
December 2019,286700000.0,54800000.0,56600000.0,8285100000.0
March 2020,241600000.0,42400000.0,46300000.0,8717900000.0
June 2020,232200000.0,43400000.0,39300000.0,8512700000.0
September 2020,226300000.0,42000000.0,47900000.0,8690300000.0
December 2020,222200000.0,44200000.0,17800000.0,8937600000.0
March 2021,235700000.0,47100000.0,36500000.0,9915300000.0
June 2021,243000000.0,47800000.0,5500000.0,9400500000.0
September 2021,233600000.0,45900000.0,40100000.0,9586300000.0
December 2021,248200000.0,57500000.0,61000000.0,9541700000.0
March 2022,235300000.0,47200000.0,75800000.0,9908600000.0
June 2022,230900000.0,47900000.0,2600000.0,9524200000.0
