,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2008,21014500.0,,,
June 2008,21014500.0,,,
September 2008,21014500.0,,,
December 2008,21014500.0,,,
March 2009,904000.0,,,
June 2009,-18473000.0,,,
September 2009,-124942000.0,,,
December 2009,-13610000.0,1664410000.0,384132000.0,1280278000.0
March 2010,-7580000.0,,,
June 2010,-2236000.0,1681836000.0,418946000.0,1262890000.0
September 2010,6772000.0,1680975000.0,415302000.0,1265673000.0
December 2010,76539000.0,1892936000.0,414020000.0,1478916000.0
March 2011,-18135000.0,1987379000.0,428597000.0,1558782000.0
June 2011,36080000.0,2084078000.0,500209000.0,1583869000.0
September 2011,44168000.0,2468982000.0,566631000.0,1902351000.0
December 2011,39348000.0,2599120000.0,600563000.0,1998557000.0
March 2012,3190000.0,2704130000.0,603728000.0,2100402000.0
June 2012,29041000.0,2790320000.0,617025000.0,2173295000.0
September 2012,-38094000.0,2819923000.0,628047000.0,2191876000.0
December 2012,13485000.0,2761588000.0,589794000.0,2171794000.0
March 2013,-274000.0,2761301000.0,616118000.0,2145183000.0
June 2013,-4128000.0,2732437000.0,619867000.0,2112570000.0
September 2013,-4848000.0,2684047000.0,601417000.0,2082630000.0
December 2013,-12518000.0,2573573000.0,506153000.0,2081317000.0
March 2014,-11899000.0,2551627000.0,499077000.0,2052550000.0
June 2014,-52196000.0,2445108000.0,452491000.0,1992617000.0
September 2014,-62229000.0,2406646000.0,482365000.0,1924281000.0
December 2014,-52304000.0,2333498000.0,433795000.0,1899703000.0
March 2015,-59676000.0,2222400000.0,380225000.0,1842175000.0
June 2015,-65379000.0,2289778000.0,521378000.0,1768400000.0
September 2015,-640161000.0,1494024000.0,440663000.0,1053361000.0
December 2015,-152485000.0,1327798000.0,420426000.0,907372000.0
March 2016,-81614000.0,1226046000.0,354254000.0,871792000.0
June 2016,-92802000.0,1129777000.0,288802000.0,840975000.0
September 2016,-130752000.0,995621000.0,225937000.0,769684000.0
December 2016,-10244000.0,657981000.0,234570000.0,423411000.0
March 2017,-46859000.0,604246000.0,208599000.0,395647000.0
June 2017,-13183000.0,588353000.0,210483000.0,377870000.0
September 2017,-38220000.0,551105000.0,193314000.0,357791000.0
December 2017,-22327000.0,529121000.0,186803000.0,342318000.0
March 2018,-24963000.0,501999000.0,172820000.0,329179000.0
June 2018,-16895000.0,489503000.0,180171000.0,309332000.0
September 2018,-23860000.0,462733000.0,165274000.0,297459000.0
December 2018,-23078000.0,443174000.0,158498000.0,284676000.0
March 2019,-23441000.0,412752000.0,138961000.0,273791000.0
June 2019,-18303000.0,403515000.0,136530000.0,266985000.0
September 2019,-25489000.0,374146000.0,118562000.0,255584000.0
December 2019,-30185000.0,347870000.0,101592000.0,246278000.0
March 2020,108994000.0,298661000.0,101393000.0,197268000.0
June 2020,-19125000.0,269193000.0,58655000.0,210538000.0
September 2020,-3896000.0,256560000.0,55144000.0,201416000.0
