,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2007,,121073500.0,,
June 2007,,121073500.0,,
September 2007,,121073500.0,,
December 2007,,121073500.0,,
March 2008,3500000.0,-95824000.0,,
June 2008,3500000.0,186778000.0,,
September 2008,3500000.0,89462000.0,,
December 2008,3500000.0,-2715841000.0,5198493000.0,866638000.0
March 2009,881250.0,-140007000.0,,
June 2009,881250.0,411023000.0,6053609000.0,745386000.0
September 2009,881250.0,370199000.0,6621425000.0,817246000.0
December 2009,881250.0,-90935000.0,6762364000.0,551474000.0
March 2010,1369000.0,191479000.0,6988062000.0,662024000.0
June 2010,1369000.0,-235144000.0,6430701000.0,764516000.0
September 2010,1369000.0,287755000.0,7307335000.0,683777000.0
December 2010,1369000.0,1695222000.0,9350298000.0,985590000.0
March 2011,5538000.0,10507000.0,9224385000.0,767672000.0
June 2011,5538000.0,186309000.0,9192181000.0,1487852000.0
September 2011,5538000.0,-291022000.0,8215054000.0,1419413000.0
December 2011,5538000.0,119437000.0,9263189000.0,1253479000.0
March 2012,4395000.0,490877000.0,8986637000.0,1125430000.0
June 2012,4395000.0,-197251000.0,8603278000.0,1285641000.0
September 2012,4395000.0,106674000.0,8740184000.0,2139481000.0
December 2012,4395000.0,454166000.0,9349118000.0,2521266000.0
March 2013,,305103000.0,47349294000.0,
June 2013,,52612000.0,46179276000.0,
September 2013,,2971000.0,45541073000.0,
December 2013,,8554000.0,47866781000.0,
March 2014,,94316000.0,51130014000.0,
June 2014,,65074000.0,51407735000.0,
September 2014,,54679000.0,52727801000.0,
December 2014,,-9763000.0,52614324000.0,
March 2015,,380759000.0,52322692000.0,
June 2015,,16406000.0,52555956000.0,
September 2015,,-173173000.0,50513738000.0,
December 2015,,55595000.0,46331184000.0,
March 2016,,-222880000.0,43134365000.0,
June 2016,,57289000.0,45041927000.0,
September 2016,,154358000.0,46106015000.0,
December 2016,,137171000.0,45071307000.0,
March 2017,,281408000.0,45979997000.0,
June 2017,,58193000.0,48376102000.0,
September 2017,,99351000.0,47666944000.0,
December 2017,,-271601000.0,47169108000.0,
March 2018,,124525000.0,49001494000.0,
June 2018,,725529000.0,49401798000.0,
September 2018,,192635000.0,48948669000.0,
December 2018,,44811000.0,47131095000.0,
March 2019,,670764000.0,48959345000.0,
June 2019,,48477000.0,48523940000.0,
September 2019,,195541000.0,49263208000.0,
December 2019,,113010000.0,49460234000.0,
March 2020,,44919000.0,51778123000.0,
June 2020,,304409000.0,50283215000.0,
September 2020,,307267000.0,51773988000.0,
December 2020,,416850750.0,53118352000.0,
March 2021,,416850750.0,56868919000.0,
June 2021,,416850750.0,57978969000.0,
September 2021,,416850750.0,58037399000.0,
December 2021,,,60404110000.0,
March 2022,,,60036451000.0,
June 2022,,,57213810000.0,
