,NetIncomeLoss,Assets
March 2012,3277000.0,
June 2012,3277000.0,
September 2012,3277000.0,
December 2012,3277000.0,
March 2013,463000.0,
June 2013,463000.0,
September 2013,9156000.0,
December 2013,1908000.0,1323371000.0
March 2014,2526000.0,
June 2014,230000.0,
September 2014,2626000.0,1548045000.0
December 2014,1342000.0,1536691000.0
March 2015,3174000.0,1596739000.0
June 2015,4743000.0,1677806000.0
September 2015,5005000.0,1712483000.0
December 2015,1421000.0,1725520000.0
March 2016,4650000.0,1787071000.0
