,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2010,5954500.0,,1895600.0,
June 2010,8246600.0,,527700.0,
September 2010,6567700.0,,241000.0,
December 2010,7407400.0,,-1016200.0,133011300.0
March 2011,8333100.0,,-2278800.0,
June 2011,7000300.0,,-149300.0,129161700.0
September 2011,6551000.0,,-242700.0,128264400.0
December 2011,4600900.0,,1220400.0,130826000.0
March 2012,4766500.0,,1325000.0,140181700.0
June 2012,6056000.0,,960500.0,
September 2012,5321400.0,,1112900.0,154557400.0
December 2012,5327500.0,,1790600.0,152426500.0
March 2013,6912200.0,,4052300.0,153212000.0
June 2013,5843400.0,,901700.0,157026300.0
September 2013,6154800.0,,4021200.0,152340400.0
December 2013,6648100.0,,-5757700.0,164634300.0
March 2014,7478700.0,,369700.0,193081000.0
June 2014,13867400.0,,-3920400.0,182089800.0
September 2014,19189700.0,,-8247000.0,176526300.0
December 2014,5416500.0,,503700.0,197670500.0
March 2015,7475200.0,,752200.0,195355300.0
June 2015,7282400.0,,1355300.0,196929100.0
September 2015,5878200.0,,1255000.0,191310200.0
December 2015,7876600.0,,3075100.0,181025000.0
March 2016,5551400.0,,433700.0,176387400.0
June 2016,6846300.0,,298600.0,154326300.0
September 2016,6629700.0,,529700.0,224439100.0
December 2016,7716900.0,,-40300.0,218736100.0
March 2017,6911200.0,462100.0,641500.0,
June 2017,7541900.0,462100.0,355700.0,241590100.0
September 2017,7645200.0,433000.0,384500.0,247755400.0
December 2017,10022800.0,587900.0,6017500.0,236409900.0
March 2018,7413700.0,577400.0,317300.0,226187900.0
June 2018,7862100.0,376900.0,-81100.0,
September 2018,10767600.0,419400.0,-4483700.0,227951000.0
December 2018,10127000.0,970100.0,-3833700.0,217152200.0
March 2019,9231500.0,825500.0,-1308200.0,214113700.0
June 2019,7267200.0,856700.0,-77600.0,205662100.0
September 2019,34476000.0,944900.0,-8231400.0,167020400.0
December 2019,13790700.0,1378000.0,-7041300.0,149595800.0
March 2020,17668000.0,850300.0,-10178400.0,135922900.0
June 2020,19192800.0,2998500.0,-13517700.0,123191500.0
September 2020,6966500.0,1370600.0,-4081100.0,121020700.0
December 2020,18137800.0,-602100.0,-14466500.0,93377800.0
March 2021,7895300.0,1595100.0,-5410300.0,64434800.0
June 2021,,1714900.0,-3197800.0,58652800.0
September 2021,,,16570700.0,
December 2021,,,-4191700.0,14949600.0
March 2022,,,-676300.0,12950100.0
June 2022,,,,11458900.0
