,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2011,4276500.0,1612750.0,-1332000.0,,
June 2011,4276500.0,1612750.0,-1332000.0,,
September 2011,4276500.0,1612750.0,-1332000.0,,
December 2011,4276500.0,1612750.0,-1332000.0,,
March 2012,4349000.0,1574000.0,-523000.0,,
June 2012,4460000.0,1708000.0,-92000.0,,
September 2012,4829000.0,2095000.0,-381000.0,,
December 2012,5112000.0,2144000.0,51000.0,65748000.0,39246000.0
March 2013,5285000.0,2004000.0,-994000.0,,
June 2013,5398000.0,1898000.0,-282000.0,,
September 2013,5680000.0,2210000.0,391000.0,75934000.0,45585000.0
December 2013,6973000.0,2400000.0,-520000.0,111057000.0,77936000.0
March 2014,8433000.0,3546000.0,85000.0,154654000.0,114403000.0
June 2014,9458000.0,4009000.0,1919000.0,153524000.0,106114000.0
September 2014,10274000.0,4194000.0,1577000.0,168154000.0,110936000.0
December 2014,10943000.0,4221000.0,702000.0,183670000.0,113239000.0
March 2015,11367000.0,4805000.0,-675000.0,186215000.0,101139000.0
June 2015,10842000.0,4701000.0,6089000.0,222747000.0,132620000.0
September 2015,11931000.0,5386000.0,2700000.0,256949000.0,160194000.0
December 2015,12864000.0,5960000.0,2679000.0,273475000.0,153928000.0
March 2016,15809000.0,8396000.0,-1330000.0,295861000.0,160479000.0
June 2016,15330000.0,7814000.0,603000.0,301366000.0,153711000.0
September 2016,16401000.0,8362000.0,17736000.0,326791000.0,164161000.0
December 2016,16394000.0,7208000.0,14225000.0,322318000.0,157552000.0
March 2017,17157000.0,7432000.0,19789000.0,367626000.0,194222000.0
June 2017,19017000.0,8073000.0,29071000.0,406986000.0,218512000.0
September 2017,21321000.0,9190000.0,19375000.0,438704000.0,230067000.0
December 2017,21834000.0,10670000.0,5716000.0,452984000.0,229697000.0
March 2018,23666000.0,11736000.0,2120000.0,475617000.0,241825000.0
June 2018,24920000.0,12645000.0,8034000.0,472204000.0,230588000.0
September 2018,27141000.0,14180000.0,-3732000.0,481085000.0,215170000.0
December 2018,22814000.0,11342000.0,-8568000.0,466840000.0,194275000.0
March 2019,24220000.0,11185000.0,-10474000.0,491205000.0,203274000.0
June 2019,24366000.0,11151000.0,-11366000.0,495122000.0,201035000.0
September 2019,22972000.0,10466000.0,-8780000.0,483878000.0,190647000.0
December 2019,23390000.0,10597000.0,-35430000.0,466825000.0,192804000.0
March 2020,24132000.0,10558000.0,-16797000.0,453536000.0,182688000.0
June 2020,24844000.0,10803000.0,-18600000.0,478091000.0,213009000.0
September 2020,25969000.0,11206000.0,-9616000.0,497787000.0,229930000.0
December 2020,24438000.0,10826000.0,-13439000.0,480805000.0,209169000.0
March 2021,24757000.0,10928000.0,-15622000.0,476362000.0,209855000.0
June 2021,24427000.0,10914000.0,-8203000.0,473144000.0,208224000.0
September 2021,23577000.0,10149000.0,-15797000.0,462524000.0,200570000.0
December 2021,21720000.0,9229000.0,-14540000.0,454459000.0,194079000.0
March 2022,23264000.0,9486000.0,-16062000.0,446753000.0,193239000.0
June 2022,21527000.0,8328000.0,-14456000.0,434755000.0,194417000.0
