,NetIncomeLoss,Assets
March 2009,8152250.0,
June 2009,8152250.0,
September 2009,8152250.0,
December 2009,8152250.0,
March 2010,9303000.0,
June 2010,11042000.0,4628022000.0
September 2010,11787000.0,4599182000.0
December 2010,10177000.0,5060249000.0
March 2011,11355000.0,5239658000.0
June 2011,10115000.0,10000000000.0
September 2011,12553000.0,5472306000.0
December 2011,11598000.0,5608825000.0
March 2012,14005000.0,5737994000.0
June 2012,11729000.0,5671711000.0
September 2012,13860000.0,5836751000.0
December 2012,12306000.0,6022250000.0
March 2013,13372000.0,5773926000.0
June 2013,12593000.0,5749666000.0
September 2013,14491000.0,5926730000.0
December 2013,13861000.0,6038974000.0
March 2014,14657000.0,6375041000.0
June 2014,14688000.0,6368633000.0
September 2014,18793000.0,6406575000.0
December 2014,15749000.0,6574972000.0
March 2015,16259000.0,6570120000.0
June 2015,18553000.0,6498898000.0
September 2015,15630000.0,6406096000.0
December 2015,15728000.0,6692829000.0
March 2016,16579000.0,6740938000.0
June 2016,17493000.0,6683376000.0
September 2016,17982000.0,6783537000.0
December 2016,18620000.0,7018952000.0
March 2017,22050000.0,7189637000.0
June 2017,23182000.0,7046589000.0
September 2017,21710000.0,7132168000.0
December 2017,19497000.0,7253156000.0
March 2018,29620000.0,7615642000.0
June 2018,30586000.0,7622963000.0
September 2018,32883000.0,7602438000.0
December 2018,32725000.0,7574258000.0
March 2019,31837000.0,7709000000.0
June 2019,34167000.0,7642021000.0
September 2019,33368000.0,8388816000.0
December 2019,35507000.0,8565758000.0
March 2020,22608000.0,8669096000.0
June 2020,20730000.0,9612453000.0
September 2020,20890000.0,9618868000.0
December 2020,35358000.0,9212357000.0
March 2021,42520000.0,10549305000.0
June 2021,48192000.0,11015287000.0
September 2021,38750000.0,11302771000.0
December 2021,38168000.0,9405612000.0
March 2022,35915000.0,12624431000.0
June 2022,44707000.0,12530073000.0
