,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2008,88224750.0,-236837250.0,,,
June 2008,88224750.0,-236837250.0,,,
September 2008,88224750.0,-236837250.0,,,
December 2008,88224750.0,-236837250.0,,,
March 2009,85111000.0,-59414000.0,,,
June 2009,86380000.0,-530770000.0,,,
September 2009,81600000.0,18192000.0,,,
December 2009,84529000.0,22585000.0,5292948000.0,1419161000.0,
March 2010,84051000.0,16662000.0,,,
June 2010,94166000.0,17526000.0,4973255000.0,1242919000.0,
September 2010,88229000.0,-17985000.0,5004932000.0,1266238000.0,
December 2010,91809000.0,-118028000.0,4741536000.0,1160604000.0,3580932000.0
March 2011,91281000.0,-30030000.0,4675031000.0,1131181000.0,
June 2011,90450000.0,-28026000.0,4666988000.0,1160232000.0,3506756000.0
September 2011,90969000.0,-215974000.0,4437109000.0,1175255000.0,3261854000.0
December 2011,86682000.0,-66578000.0,4360662000.0,1123927000.0,3236735000.0
March 2012,94839000.0,5495000.0,4379296000.0,1137574000.0,3241722000.0
June 2012,94134000.0,-152608000.0,4303685000.0,1231215000.0,3072470000.0
September 2012,85536000.0,113366000.0,4327282000.0,1262749000.0,3064533000.0
December 2012,101138000.0,-5739000.0,4254847000.0,1237968000.0,3016879000.0
March 2013,84979000.0,50205000.0,4363052000.0,1322087000.0,3040965000.0
June 2013,91117000.0,9335000.0,4369640000.0,1359271000.0,3010369000.0
September 2013,93581000.0,40977000.0,4321731000.0,1303249000.0,3018482000.0
December 2013,88496000.0,22647000.0,4227157000.0,1221131000.0,3006026000.0
March 2014,92578000.0,32596000.0,4278936000.0,1242962000.0,3035974000.0
June 2014,95712000.0,12377000.0,4663117000.0,1264415000.0,3398702000.0
September 2014,94806000.0,34050000.0,4818758000.0,1251134000.0,3567624000.0
December 2014,-150445000.0,19143000.0,4857147000.0,1265676000.0,3591471000.0
March 2015,86686000.0,31027000.0,4826538000.0,1255980000.0,3570558000.0
June 2015,83874000.0,-24176000.0,4781576000.0,1195169000.0,3586407000.0
September 2015,32621000.0,-6304000.0,4698918000.0,1170586000.0,3528332000.0
December 2015,600000.0,-129490000.0,2695180000.0,285303000.0,
March 2016,34651000.0,-1819000.0,2670840000.0,265702000.0,
June 2016,27646000.0,-4477000.0,2611942000.0,269446000.0,
September 2016,25448000.0,-9648000.0,2525419000.0,237831000.0,
December 2016,26725000.0,-38611000.0,2414779000.0,215685000.0,
March 2017,27553000.0,-11685000.0,2416745000.0,212211000.0,
June 2017,25162000.0,-6687000.0,2418519000.0,212470000.0,
September 2017,29108000.0,-10235000.0,2413826000.0,222182000.0,
December 2017,29660000.0,47560000.0,2408007000.0,221163000.0,
March 2018,27508000.0,-3816000.0,2437198000.0,211068000.0,
June 2018,26649000.0,1937000.0,2484239000.0,226706000.0,
September 2018,26298000.0,9974000.0,2531390000.0,232698000.0,
December 2018,21108000.0,12968000.0,2552515000.0,256196000.0,
March 2019,28989000.0,19456000.0,2634262000.0,228672000.0,
June 2019,28618000.0,11423000.0,2661306000.0,231511000.0,
September 2019,29526000.0,20407000.0,3100804000.0,253142000.0,
December 2019,30594000.0,46044000.0,3109975000.0,232203000.0,
March 2020,30626000.0,-61187000.0,3016839000.0,223744000.0,
June 2020,28745000.0,-30381000.0,2928393000.0,208889000.0,
September 2020,18681000.0,18332000.0,2865668000.0,211700000.0,
December 2020,27048000.0,4791000.0,2779722000.0,182011000.0,
March 2021,25084000.0,4169000.0,2722531000.0,188310000.0,
June 2021,26077000.0,8752000.0,2695658000.0,187855000.0,
September 2021,28839000.0,9304000.0,2618224000.0,186706000.0,
December 2021,27167000.0,5992000.0,2589966000.0,186570000.0,
March 2022,27773000.0,1721000.0,2600020000.0,196384000.0,
June 2022,27691000.0,16746000.0,2601326000.0,217035000.0,
