,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2015,95000.0,,,,
June 2015,95000.0,,,,
September 2015,95000.0,,,,
December 2015,95000.0,,92335000.0,,
March 2016,83000.0,-304000.0,,,
June 2016,83000.0,598000.0,,,
September 2016,82000.0,-2512000.0,,,
December 2016,62000.0,-1177000.0,81330000.0,56537000.0,
March 2017,195000.0,4279000.0,,,98160000.0
June 2017,48000.0,6070000.0,,,
September 2017,114000.0,-226000.0,145042000.0,109753000.0,
December 2017,143000.0,-3391000.0,140845000.0,108875000.0,
March 2018,49000.0,-2028000.0,402402000.0,148519000.0,192979000.0
June 2018,118000.0,5398000.0,399859000.0,147449000.0,
September 2018,114000.0,2221000.0,409429000.0,136265000.0,
December 2018,-78000.0,-5256000.0,495434000.0,207721000.0,
March 2019,100000.0,1611000.0,535253000.0,236685000.0,
June 2019,70000.0,3815000.0,523844000.0,223000000.0,
September 2019,185000.0,-5890000.0,690084000.0,213417000.0,
December 2019,945000.0,-10989000.0,672728000.0,185423000.0,
March 2020,1000000.0,-2103000.0,776992000.0,286430000.0,
June 2020,900000.0,-1891000.0,867030000.0,383156000.0,
September 2020,600000.0,-70250000.0,778107000.0,247984000.0,
December 2020,-200000.0,-3230000.0,771592000.0,242296000.0,
March 2021,1100000.0,2033000.0,852504000.0,325923000.0,
June 2021,900000.0,4026000.0,843255000.0,317245000.0,
September 2021,3200000.0,-7902000.0,826558000.0,302745000.0,
December 2021,2800000.0,-14124000.0,819587000.0,298689000.0,
March 2022,,3131000.0,924434000.0,408024000.0,
June 2022,,4632000.0,855035000.0,343627000.0,
