,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2008,55653500.0,98778000.0,,
June 2008,55653500.0,98778000.0,,
September 2008,55653500.0,98778000.0,,
December 2008,55653500.0,98778000.0,,
March 2009,46748000.0,87556000.0,,
June 2009,52798000.0,92052000.0,,
September 2009,35346000.0,80088000.0,,
December 2009,63548000.0,70790000.0,1726419000.0,906682000.0
March 2010,45261000.0,73313000.0,,
June 2010,49158000.0,70999000.0,1645798000.0,805026000.0
September 2010,48443000.0,72731000.0,1607188000.0,747433000.0
December 2010,40221000.0,59836000.0,1531429000.0,676395000.0
March 2011,41915000.0,64625000.0,1521891000.0,668493000.0
June 2011,45069000.0,65217000.0,1483456000.0,630339000.0
September 2011,46560000.0,63059000.0,1516592000.0,659002000.0
December 2011,27671000.0,78323000.0,1870199000.0,421190000.0
March 2012,51236000.0,110348000.0,2007271000.0,561249000.0
June 2012,42263000.0,108542000.0,1998738000.0,570876000.0
