,OperatingExpenses,NetIncomeLoss,AssetsCurrent
June 2010,1000.0,-1800.0,
September 2010,800.0,0.0,
December 2010,0.0,0.0,
March 2011,0.0,0.0,200.0
June 2011,1800.0,-1800.0,200.0
September 2011,800.0,-800.0,
December 2011,985.0,-985.0,200.0
