,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
June 2009,6127500.0,10607250.0,,
September 2009,6127500.0,10607250.0,,
December 2009,6127500.0,10607250.0,,
March 2010,6127500.0,10607250.0,,
June 2010,7972000.0,11371000.0,,
September 2010,8689000.0,12685000.0,,
December 2010,7872000.0,10578000.0,,
March 2011,11236000.0,12797000.0,,
June 2011,7586000.0,13700000.0,,
September 2011,8816000.0,12240000.0,,
December 2011,7238000.0,12866000.0,,
March 2012,7337000.0,16474000.0,,
June 2012,8136000.0,13621000.0,,
September 2012,9386000.0,13176000.0,,
December 2012,10306000.0,10433000.0,,
March 2013,9386000.0,14290000.0,,
June 2013,7190000.0,12459000.0,,
September 2013,6861000.0,13084000.0,,
December 2013,5241000.0,13168000.0,,
March 2014,6223000.0,16968000.0,,
June 2014,7124000.0,13403000.0,,
September 2014,8531000.0,13470000.0,,
December 2014,8577000.0,13268000.0,,
March 2015,22259000.0,15622000.0,,
June 2015,9831000.0,15256000.0,,
September 2015,9897000.0,14733000.0,,
December 2015,8247000.0,13313000.0,,
March 2016,14316000.0,16775000.0,,
June 2016,8600000.0,13663000.0,,
September 2016,8517000.0,13387000.0,,
December 2016,7988000.0,12788000.0,,
March 2017,7937000.0,16699000.0,,
June 2017,6461000.0,13331000.0,,
September 2017,6844000.0,12768000.0,,
December 2017,7314000.0,13500000.0,,
March 2018,5814000.0,11227000.0,,
June 2018,6435000.0,11956000.0,,
September 2018,8109000.0,13646000.0,,
December 2018,8087000.0,14464000.0,,
March 2019,11603000.0,20277000.0,,
June 2019,8709000.0,13668000.0,,
September 2019,10858000.0,16255000.0,,
December 2019,11381000.0,13223000.0,,
March 2020,15529000.0,16344000.0,,
June 2020,11103000.0,12011000.0,,
September 2020,11976000.0,14977000.0,,
December 2020,13631000.0,15652000.0,,
March 2021,17054000.0,24841000.0,,
June 2021,13708000.0,27128000.0,,
September 2021,14297000.0,24819000.0,,
December 2021,13013000.0,22549000.0,,
March 2022,13671000.0,21938000.0,,
June 2022,15045000.0,21943000.0,,
