,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,86240903.5,2626253.25,,
June 2009,86240903.5,2626253.25,,
September 2009,86240903.5,2626253.25,,
December 2009,86240903.5,2626253.25,,
March 2010,30453546.0,1277995.0,26373793.0,
June 2010,40125595.0,2250402.0,129087999.0,
September 2010,23369645.0,1985471.0,,
December 2010,44503250.0,1482322.0,,1731207928.0
March 2011,9866434.0,1197825.0,267149.0,
June 2011,21239155.0,1583793.0,-10354735.0,1763634233.0
September 2011,25971029.0,2292628.0,,1749448086.0
December 2011,41680058.0,2251555.0,,1776714330.0
March 2012,22064620.0,1660233.0,,1753500765.0
June 2012,24133678.0,2191769.0,,1690969525.0
September 2012,19439955.0,1870759.0,,1666978182.0
December 2012,18081083.0,2160153.0,,1701881280.0
March 2013,19075367.0,2189283.0,5324684.25,1856950128.0
June 2013,18549062.0,2969733.0,5324684.25,1933342583.0
September 2013,17700377.0,3300071.0,5324684.25,1976560005.0
December 2013,16083239.0,2144160.0,5324684.25,1877472482.0
March 2014,16538333.0,1982219.0,7465691.0,1900310225.0
June 2014,17958639.0,3194845.0,13354522.0,1902972869.0
September 2014,18819835.0,2330033.0,65290551.0,1917155437.0
December 2014,14859256.0,2093042.0,6937726.0,1880422590.0
March 2015,18669461.0,2897810.0,16898899.0,1901690415.0
June 2015,19057772.0,2907804.0,12387070.0,1833045973.0
September 2015,18338403.0,3179534.0,17232189.0,1847430495.0
December 2015,18001688.0,3540669.0,6910656.0,1827391944.0
March 2016,17972816.0,2655476.0,3023326.0,1872420460.0
June 2016,25169864.0,1719337.0,12126878.0,1916746481.0
September 2016,35742000.0,5903031.0,,2650220728.0
December 2016,32035587.0,7309027.0,,2970786000.0
March 2017,38254000.0,7693887.0,,2914427834.0
June 2017,37043000.0,7834927.0,,2935445368.0
September 2017,36596000.0,7606936.0,,3058177862.0
December 2017,37999000.0,7602250.0,,3625945000.0
March 2018,43849000.0,8915000.0,,3748768000.0
June 2018,40610000.0,8873000.0,,4204320000.0
September 2018,34739000.0,9994000.0,,4534260000.0
December 2018,50255000.0,9292000.0,,4612175000.0
March 2019,46287000.0,9761000.0,,4597725000.0
June 2019,45471000.0,10481000.0,,5601730000.0
September 2019,48882000.0,10882000.0,,5395634000.0
December 2019,41670000.0,9205000.0,,6239160000.0
March 2020,125613000.0,11052000.0,,6934650000.0
June 2020,61149000.0,8606000.0,,6390124000.0
September 2020,35727000.0,9356000.0,,6689218000.0
December 2020,47709000.0,8334000.0,,7660986000.0
March 2021,56267000.0,10818000.0,,8130859000.0
June 2021,49484000.0,11133000.0,,9060800000.0
September 2021,48615000.0,11757000.0,,12169584000.0
December 2021,43658000.0,11867000.0,,15073845000.0
March 2022,60787000.0,14548000.0,,16308906000.0
June 2022,57779000.0,13188000.0,,17579590000.0
