,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2007,,455750000.0,,
June 2007,,455750000.0,,
September 2007,,455750000.0,,
December 2007,,455750000.0,,
March 2008,74250000.0,441000000.0,,
June 2008,74250000.0,417000000.0,,
September 2008,74250000.0,416000000.0,,
December 2008,74250000.0,416000000.0,18089000000.0,5813000000.0
March 2009,75250000.0,407.0,,
June 2009,75250000.0,403000000.0,18146000000.0,5464000000.0
September 2009,75250000.0,582000000.0,,
December 2009,75250000.0,492000000.0,19209000000.0,5864000000.0
March 2010,79250000.0,384.0,18997.0,5719.0
June 2010,79250000.0,498000000.0,18713000000.0,5621000000.0
September 2010,79250000.0,469000000.0,19486000000.0,6092000000.0
December 2010,79250000.0,492000000.0,19864000000.0,6328000000.0
March 2011,79000000.0,350000000.0,19992000000.0,6300000000.0
June 2011,79000000.0,408000000.0,20480000000.0,6722000000.0
September 2011,79000000.0,432000000.0,19630000000.0,6539000000.0
December 2011,79000000.0,401000000.0,19373000000.0,6283000000.0
March 2012,89000000.0,468000000.0,19557000000.0,6317000000.0
June 2012,89000000.0,498000000.0,19596000000.0,6592000000.0
September 2012,89000000.0,517000000.0,20037000000.0,6926000000.0
December 2012,89000000.0,267000000.0,19873000000.0,6589000000.0
March 2013,90000000.0,531000000.0,19746000000.0,6714000000.0
June 2013,90000000.0,526000000.0,19514000000.0,6731000000.0
September 2013,90000000.0,546000000.0,19364000000.0,6894000000.0
December 2013,90000000.0,539000000.0,18919000000.0,6550000000.0
March 2014,92000000.0,538000000.0,19002000000.0,6648000000.0
June 2014,92000000.0,509000000.0,19377000000.0,7072000000.0
September 2014,92000000.0,562000000.0,18876000000.0,6921000000.0
December 2014,92000000.0,-83000000.0,15526000000.0,5559000000.0
March 2015,81000000.0,468000000.0,15053000000.0,5383000000.0
June 2015,81000000.0,-305000000.0,15346000000.0,5518000000.0
September 2015,81000000.0,517000000.0,14928000000.0,5442000000.0
December 2015,81000000.0,333000000.0,14842000000.0,5426000000.0
March 2016,82000000.0,545000000.0,14820000000.0,5151000000.0
June 2016,82000000.0,566000000.0,14770000000.0,5114000000.0
September 2016,82000000.0,550000000.0,14899000000.0,5260000000.0
December 2016,82000000.0,505000000.0,14602000000.0,5115000000.0
March 2017,77250000.0,563000000.0,14758000000.0,5112000000.0
June 2017,77250000.0,531000000.0,15070000000.0,5390000000.0
September 2017,77250000.0,567000000.0,15049000000.0,5226000000.0
December 2017,77250000.0,617000000.0,15151000000.0,5211000000.0
March 2018,79250000.0,93000000.0,15303000000.0,5372000000.0
June 2018,79250000.0,455000000.0,14564000000.0,5028000000.0
September 2018,79250000.0,451000000.0,14583000000.0,5108000000.0
December 2018,79250000.0,411000000.0,14518000000.0,5041000000.0
March 2019,71000000.0,454000000.0,15204000000.0,5255000000.0
June 2019,71000000.0,485000000.0,15347000000.0,5321000000.0
September 2019,71000000.0,671000000.0,15033000000.0,5064000000.0
December 2019,71000000.0,547000000.0,15283000000.0,5057000000.0
March 2020,69000000.0,660000000.0,15677000000.0,5646000000.0
June 2020,69000000.0,681000000.0,16173000000.0,5904000000.0
September 2020,69000000.0,472000000.0,16531000000.0,6075000000.0
December 2020,69000000.0,539000000.0,17523000000.0,5174000000.0
March 2021,67250000.0,584000000.0,17226000000.0,5143000000.0
June 2021,67250000.0,404000000.0,17827000000.0,5572000000.0
September 2021,67250000.0,469000000.0,17775000000.0,5626000000.0
December 2021,67250000.0,357000000.0,17837000000.0,5565000000.0
March 2022,,523000000.0,18672000000.0,5903000000.0
June 2022,,437000000.0,18114000000.0,5662000000.0
