,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2008,12193250.0,6109500.0,,
June 2008,12193250.0,6109500.0,,
September 2008,12193250.0,6109500.0,,
December 2008,12193250.0,6109500.0,,
March 2009,11629000.0,6032000.0,,
June 2009,11736000.0,5236000.0,,
September 2009,11572000.0,5609000.0,,
December 2009,12805000.0,6094000.0,292693000.0,267437000.0
March 2010,14675000.0,6952000.0,,
June 2010,15418000.0,7835000.0,336471000.0,302240000.0
September 2010,15671000.0,8308000.0,372160000.0,337724000.0
December 2010,16691000.0,8372000.0,405509000.0,366668000.0
March 2011,17872000.0,9426000.0,434244000.0,384400000.0
June 2011,17769000.0,9365000.0,448298000.0,398669000.0
September 2011,17461000.0,9109000.0,473592000.0,425284000.0
December 2011,19922000.0,10999000.0,488565000.0,440660000.0
March 2012,21186000.0,11783000.0,519880000.0,471842000.0
June 2012,22488000.0,12421000.0,528266000.0,478588000.0
September 2012,21856000.0,12549000.0,554678000.0,504615000.0
December 2012,22236000.0,12449000.0,573563000.0,525388000.0
March 2013,22779000.0,13218000.0,602050000.0,554758000.0
June 2013,22134000.0,12729000.0,619715000.0,571937000.0
September 2013,20930000.0,11994000.0,642282000.0,591264000.0
December 2013,21292000.0,11823000.0,656488000.0,607140000.0
March 2014,22571000.0,11895000.0,672877000.0,622108000.0
