,NetIncomeLoss,Assets
March 2013,20063.5,
June 2013,20063.5,
September 2013,-326713.0,
December 2013,-639454.0,144605594.0
March 2014,74000.0,
June 2014,21000.0,
September 2014,-1257000.0,136115789.0
December 2014,-15000.0,150685000.0
March 2015,-204000.0,148320000.0
June 2015,-231000.0,144904000.0
September 2015,-305000.0,141840000.0
December 2015,-294000.0,140189000.0
March 2016,1000.0,144245000.0
June 2016,-172000.0,139220000.0
September 2016,-346000.0,136249000.0
December 2016,-1234000.0,131311000.0
March 2017,-31000.0,139748000.0
June 2017,23000.0,142452000.0
September 2017,47000.0,138269000.0
December 2017,34000.0,147331000.0
March 2018,-22000.0,148842000.0
June 2018,367000.0,150401000.0
September 2018,466000.0,150384000.0
December 2018,1496000.0,150349000.0
March 2019,127000.0,148174000.0
