,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2019,21272750.0,3991500.0,,
June 2019,21272750.0,3991500.0,,
September 2019,21272750.0,3991500.0,,
December 2019,21272750.0,3991500.0,,
March 2020,20276000.0,4516500.0,,
June 2020,20276000.0,4516500.0,,
September 2020,19828000.0,4549000.0,,
December 2020,35018000.0,5109000.0,963705000.0,72174000.0
March 2021,28930000.0,6986000.0,,
June 2021,28134000.0,7288000.0,,
September 2021,49444000.0,13533000.0,1020166000.0,132306000.0
December 2021,33891000.0,8529000.0,1025893000.0,147956000.0
March 2022,33622000.0,8409000.0,1055190000.0,188916000.0
June 2022,36861000.0,10487000.0,1058959000.0,173537000.0
