,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2011,0.0,147000.0,
June 2011,0.0,92000.0,
September 2011,0.0,70000.0,
December 2011,5000.0,0.0,4658000.0
March 2012,123000.0,11000.0,
June 2012,78000.0,55000.0,
September 2012,78000.0,34000.0,4833000.0
December 2012,86000.0,22000.0,4882000.0
March 2013,140000.0,-41000.0,4208000.0
June 2013,114000.0,0.0,4883000.0
September 2013,77000.0,41000.0,4537000.0
December 2013,84000.0,24000.0,5457000.0
March 2014,115000.0,17000.0,6395000.0
June 2014,84000.0,72000.0,7877000.0
September 2014,87000.0,93000.0,8466000.0
December 2014,104000.0,111000.0,9376000.0
March 2015,150000.0,42000.0,9795000.0
June 2015,119000.0,93000.0,11554000.0
September 2015,115000.0,95000.0,12673000.0
December 2015,163000.0,268000.0,16526000.0
March 2016,350000.0,129000.0,19724000.0
June 2016,305000.0,203000.0,21198000.0
September 2016,297000.0,145000.0,22010000.0
December 2016,367000.0,41000.0,24886000.0
March 2017,448000.0,191000.0,26846000.0
June 2017,456000.0,163000.0,31245000.0
September 2017,537000.0,333000.0,34503000.0
December 2017,637000.0,95000.0,36355000.0
March 2018,497000.0,287000.0,43242000.0
June 2018,571000.0,204000.0,49576000.0
September 2018,680000.0,167000.0,54126000.0
December 2018,403000.0,10000.0,55810000.0
March 2019,624000.0,352000.0,59779000.0
June 2019,620000.0,75000.0,62708000.0
September 2019,703000.0,203000.0,59864000.0
December 2019,447000.0,384000.0,64337000.0
March 2020,708000.0,82000.0,64869000.0
June 2020,462000.0,-2359000.0,60314000.0
September 2020,367000.0,104000.0,58099000.0
December 2020,648000.0,244000.0,59269000.0
March 2021,537000.0,-286000.0,57324000.0
June 2021,438000.0,91000.0,58262000.0
September 2021,483000.0,677000.0,55270000.0
December 2021,415000.0,283000.0,57615000.0
March 2022,695000.0,330000.0,60991000.0
June 2022,713000.0,509000.0,60377000.0
