,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2000,516277.77777777775,-170250.0,,,
June 2000,516277.77777777775,-170250.0,,,
September 2000,516277.77777777775,-170250.0,,,
December 2000,516277.77777777775,-170250.0,,,
March 2001,516277.77777777775,-811000.0,,,
June 2001,516277.77777777775,-811000.0,,,
September 2001,516277.77777777775,-811000.0,,,
December 2001,516277.77777777775,-811000.0,,,
March 2002,516277.77777777775,-1262250.0,,,
June 2002,516277.77777777775,-1262250.0,,,
September 2002,516277.77777777775,-1262250.0,,,
December 2002,516277.77777777775,-1262250.0,,,
March 2003,516277.77777777775,-1259500.0,,,
June 2003,516277.77777777775,-1259500.0,,,
September 2003,516277.77777777775,-1259500.0,,,
December 2003,516277.77777777775,-1259500.0,,,
March 2004,516277.77777777775,-1129000.0,,,
June 2004,516277.77777777775,-1129000.0,,,
September 2004,516277.77777777775,-1129000.0,,,
December 2004,516277.77777777775,-1129000.0,,,
March 2005,516277.77777777775,-194000.0,,,
June 2005,516277.77777777775,-194000.0,,,
September 2005,516277.77777777775,-194000.0,,,
December 2005,516277.77777777775,-194000.0,,,
March 2006,516277.77777777775,-649750.0,,,
June 2006,516277.77777777775,-649750.0,,,
September 2006,516277.77777777775,-649750.0,,,
December 2006,516277.77777777775,-649750.0,,,
March 2007,12500.0,-962750.0,,,
June 2007,12500.0,-962750.0,,,
September 2007,12500.0,-962750.0,,,
December 2007,12500.0,-962750.0,,,
March 2008,516277.77777777775,-1248000.0,,,
June 2008,516277.77777777775,-1248000.0,,,
September 2008,516277.77777777775,-1248000.0,,,
December 2008,516277.77777777775,-1248000.0,,,
March 2009,516277.77777777775,-1735500.0,,,
June 2009,516277.77777777775,-1735500.0,,,
September 2009,516277.77777777775,-1735500.0,,,
December 2009,516277.77777777775,-1735500.0,,,
March 2010,348000.0,177000.0,,,
June 2010,348000.0,177000.0,,,
September 2010,435000.0,-3606000.0,6204000.0,5246000.0,
December 2010,-981000.0,-895000.0,5121000.0,3842000.0,
March 2011,1174000.0,-338000.0,,,
June 2011,1041000.0,-2323000.0,,,
September 2011,1353000.0,-3424000.0,9701000.0,8868000.0,
December 2011,1484000.0,-2011000.0,6862000.0,6117000.0,
March 2012,570000.0,-2712000.0,5201000.0,4400000.0,
June 2012,1175000.0,-6912000.0,11470000.0,10742000.0,
September 2012,1611000.0,-3027000.0,10336000.0,9618000.0,
December 2012,2075000.0,-2420000.0,7707000.0,6970000.0,
March 2013,2031000.0,-3679000.0,33659000.0,33035000.0,
June 2013,855000.0,-2099000.0,31493000.0,30797000.0,
September 2013,2343000.0,-6143000.0,28320000.0,27800000.0,
December 2013,2068000.0,-5208000.0,23087000.0,22592000.0,495000.0
March 2014,2142000.0,-5357000.0,20251000.0,19773000.0,
June 2014,773000.0,-3840000.0,18051000.0,17426000.0,625000.0
September 2014,1565000.0,-3040000.0,15873000.0,15217000.0,656000.0
December 2014,3773000.0,-6196000.0,34280000.0,33603000.0,677000.0
March 2015,3901000.0,-8922000.0,27412000.0,26762000.0,650000.0
June 2015,3028000.0,-6086000.0,24756000.0,24116000.0,640000.0
September 2015,4201000.0,-16521000.0,19590000.0,18820000.0,770000.0
December 2015,4314000.0,-6463000.0,54258000.0,53811000.0,447000.0
March 2016,6951000.0,-11144000.0,45161000.0,44679000.0,482000.0
June 2016,8741000.0,-11707000.0,55304000.0,54781000.0,523000.0
September 2016,7529000.0,-10570000.0,48330000.0,47846000.0,484000.0
December 2016,5135000.0,-8483000.0,40561000.0,40173000.0,388000.0
March 2017,7947000.0,-10917000.0,30532000.0,30185000.0,347000.0
June 2017,5667000.0,-8033000.0,22740000.0,22432000.0,308000.0
September 2017,6299000.0,-8605000.0,16949000.0,15914000.0,1035000.0
December 2017,5263000.0,-7159000.0,34761000.0,34622000.0,139000.0
March 2018,2588000.0,-8709000.0,27434000.0,27321000.0,113000.0
June 2018,9720000.0,-8191000.0,20233000.0,20006000.0,227000.0
September 2018,5125000.0,-7249000.0,20187000.0,20140000.0,47000.0
December 2018,-10322000.0,-6626000.0,12277000.0,12246000.0,31000.0
March 2019,1331000.0,-4839000.0,7624000.0,7598000.0,26000.0
June 2019,4072000.0,-3645000.0,4021000.0,4009000.0,12000.0
September 2019,2499000.0,-4042000.0,2796000.0,2784000.0,12000.0
