,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,10470750.0,7050250.0,,,
June 2009,10470750.0,7050250.0,,,
September 2009,10470750.0,7050250.0,,,
December 2009,10470750.0,7050250.0,,,
March 2010,9521000.0,6396000.0,,,
June 2010,10384000.0,7098000.0,,,
September 2010,9582000.0,6505000.0,,,
December 2010,10380000.0,6637000.0,,84672000.0,59261000.0
March 2011,10060000.0,7279000.0,2875000.0,,
June 2011,10234000.0,7386000.0,2875000.0,74915000.0,61957000.0
September 2011,9765000.0,6964000.0,2875000.0,70748000.0,53382000.0
December 2011,10295000.0,5471000.0,2875000.0,67646000.0,56246000.0
March 2012,10080000.0,7139000.0,2904750.0,63750000.0,45553000.0
June 2012,10044000.0,7167000.0,2904750.0,59550000.0,45844000.0
September 2012,9955000.0,7152000.0,2904750.0,56155000.0,47584000.0
December 2012,10407000.0,5542000.0,2904750.0,53280000.0,40339000.0
March 2013,10501000.0,7100000.0,3020000.0,49518000.0,35583000.0
June 2013,10005000.0,6968000.0,2933000.0,46210000.0,25307000.0
September 2013,10212000.0,6600000.0,3098000.0,43943000.0,27401000.0
December 2013,10502000.0,6432000.0,3232000.0,41614000.0,33162000.0
March 2014,10220000.0,6300000.0,3102000.0,41208000.0,35994000.0
June 2014,9992000.0,6300000.0,3255000.0,42022000.0,29544000.0
September 2014,10275000.0,6300000.0,3384000.0,40048000.0,27320000.0
December 2014,9362000.0,6000000.0,2837000.0,38161000.0,32179000.0
March 2015,9583000.0,5900000.0,3096000.0,33590000.0,28592000.0
June 2015,8950000.0,5300000.0,3037000.0,33237000.0,29595000.0
September 2015,9807000.0,5700000.0,3466000.0,34815000.0,30307000.0
December 2015,9232000.0,5500000.0,3250000.0,32575000.0,29241000.0
March 2016,8688000.0,5000000.0,3036000.0,30458000.0,27248000.0
June 2016,8721000.0,5000000.0,2938000.0,28619000.0,25566000.0
September 2016,8501000.0,4800000.0,2945000.0,26123000.0,23247000.0
December 2016,7888000.0,4500000.0,2833000.0,23764000.0,21033000.0
March 2017,7914000.0,4000000.0,3066000.0,21490000.0,18616000.0
June 2017,7711000.0,3800000.0,3173000.0,19461000.0,16690000.0
September 2017,7246000.0,3600000.0,2791000.0,18292000.0,15640000.0
December 2017,7782000.0,3600000.0,3106000.0,27600000.0,25039000.0
March 2018,6909000.0,3500000.0,2696000.0,24388000.0,21937000.0
June 2018,6996000.0,3500000.0,2542000.0,21391000.0,19053000.0
