,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2012,5324.5,1683.6666666666667,-3275.0,,,
June 2012,5324.5,1683.6666666666667,-3275.0,,,
September 2012,1959.0,459.0,-1959.0,,,
December 2012,3889.0,1639.0,-3889.0,,,
March 2013,1500.0,0.0,-1500.0,,,
June 2013,2226.0,1683.6666666666667,-6325.0,,,
September 2013,967036.0,29.0,-1425236.0,57902.0,57902.0,
December 2013,235911.0,684.0,229100.0,,,
March 2014,182764.0,343.0,-185154.0,58272.0,,
June 2014,373936.0,,-415439.0,71523.0,,
