,OperatingExpenses,Assets
March 2010,30982.0,
June 2010,32385.0,
September 2010,30630.0,
December 2010,34192.0,99323389.0
March 2011,428936.0,
June 2011,34850.0,87835847.0
September 2011,33199.0,87032638.0
December 2011,-367372.0,66503104.0
March 2012,22782.0,56502377.0
June 2012,20852.0,52780118.0
September 2012,18354.0,46387087.0
December 2012,14388.0,36625558.0
March 2013,13314.0,36287500.0
June 2013,13387.0,34135833.0
September 2013,11668.0,30623539.0
December 2013,10946.0,29757806.0
March 2014,10022.0,25934892.0
June 2014,9198.0,23857785.0
September 2014,8361.0,22511082.0
December 2014,8209.0,22479485.0
March 2015,8064.0,21806852.0
June 2015,7123.0,18817183.0
September 2015,6362.0,17108645.0
December 2015,6251.0,17393674.0
March 2016,5931.0,16243101.0
June 2016,5189.0,14090045.0
September 2016,5032.0,13216439.0
December 2016,3987.0,10376752.0
March 2017,3310.0,8876872.0
June 2017,3160.0,8586534.0
September 2017,3078.0,8140830.0
December 2017,3313.0,9122112.0
March 2018,3278.0,8665938.0
June 2018,2726.0,7230975.0
September 2018,,6575162.0
