,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2013,6547.0,6547.0,-6547.0,,
September 2013,5263.0,-6547.0,-5263.0,,
December 2013,1348.0,0.0,-1348.0,,
March 2014,1300.0,14458.0,-1300.0,,
June 2014,8412.0,8412.0,-8412.0,,
September 2014,4879.0,,-4879.0,,
December 2014,9052.0,,-9052.0,,
March 2015,20662.0,,-20662.0,,
June 2015,9865.0,,-9865.0,,
September 2015,21039.0,,-21039.0,,
December 2015,9665.0,,-9665.0,,
March 2016,6118.0,,-6118.0,,
June 2016,5481.0,,-5481.0,,
September 2016,7165.0,,-7165.0,,
December 2016,5873.0,,-5873.0,,
