,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,50097250.0,11255500.0,
June 2009,50097250.0,11255500.0,
September 2009,50097250.0,11255500.0,
December 2009,50097250.0,11255500.0,
March 2010,48350000.0,27292000.0,
June 2010,55132000.0,42263000.0,
September 2010,59359000.0,49165000.0,
December 2010,46500000.0,12496000.0,2499528000.0
March 2011,48947000.0,16523000.0,2657986000.0
June 2011,48843000.0,42505000.0,2656590000.0
September 2011,47851000.0,66621000.0,2595188000.0
December 2011,45402000.0,33901000.0,2615666000.0
March 2012,45548000.0,40371000.0,2730844000.0
June 2012,47477000.0,49427000.0,2880236000.0
September 2012,54454000.0,55500000.0,2884595000.0
