,OperatingExpenses,Assets,AssetsCurrent
March 2010,,,
June 2010,,,
September 2010,,,
December 2010,,4161410000.0,608850000.0
March 2011,,4050202000.0,
June 2011,,4058719000.0,563738000.0
September 2011,,4071541000.0,530984000.0
December 2011,,4050202000.0,456785000.0
March 2012,178011500.0,3984697000.0,386591000.0
June 2012,178011500.0,4003508000.0,381239000.0
September 2012,178011500.0,4106893000.0,459457000.0
December 2012,178011500.0,4147349000.0,447338000.0
March 2013,197095500.0,4067132000.0,356336000.0
June 2013,197095500.0,4116136000.0,385935000.0
September 2013,197095500.0,4127517000.0,377558000.0
December 2013,197095500.0,4215262000.0,473582000.0
March 2014,227047000.0,4182997000.0,423434000.0
June 2014,242349000.0,4318619000.0,544573000.0
September 2014,264144000.0,4256314000.0,480086000.0
December 2014,249913000.0,4368418000.0,500604000.0
March 2015,232735000.0,4334228000.0,461853000.0
June 2015,219190000.0,4342014000.0,470811000.0
September 2015,242896000.0,4305349000.0,439267000.0
December 2015,227242000.0,4323354000.0,448859000.0
March 2016,216776000.0,4333169000.0,462627000.0
June 2016,,,
September 2016,249717000.0,,
December 2016,,6343144000.0,427042000.0
March 2017,209039000.0,6335981000.0,410157000.0
June 2017,235391000.0,6411266000.0,476592000.0
September 2017,243387000.0,6397701000.0,452775000.0
December 2017,222602000.0,6278382000.0,571725000.0
March 2018,232026000.0,6309981000.0,590068000.0
June 2018,235552000.0,6385611000.0,607406000.0
September 2018,272146000.0,6461835000.0,658419000.0
December 2018,246763000.0,6436814000.0,564962000.0
March 2019,293600000.0,7419169000.0,641066000.0
June 2019,310677000.0,7505011000.0,718274000.0
September 2019,386432000.0,7498373000.0,685650000.0
December 2019,334002000.0,7476298000.0,638075000.0
March 2020,292907000.0,7676195000.0,847151000.0
June 2020,267564000.0,7729180000.0,886862000.0
September 2020,295699000.0,8098074000.0,1109467000.0
December 2020,336884000.0,7725569000.0,664892000.0
March 2021,348698000.0,7791276000.0,725896000.0
June 2021,254763000.0,7941469000.0,827621000.0
September 2021,325629000.0,8395807000.0,1022674000.0
December 2021,471962000.0,8125018000.0,767960000.0
March 2022,267001000.0,8250227000.0,891155000.0
June 2022,471697000.0,8462321000.0,916436000.0
