,OperatingExpenses,Assets,AssetsCurrent
March 2009,11721750.0,,
June 2009,11721750.0,,
September 2009,11721750.0,,
December 2009,11721750.0,,
March 2010,15867000.0,,
June 2010,16825000.0,,
September 2010,15240000.0,,
December 2010,15726000.0,176072000.0,126554000.0
March 2011,17755000.0,,
June 2011,17300000.0,197558000.0,143619000.0
September 2011,16381000.0,197588000.0,143013000.0
December 2011,21383000.0,277951000.0,200712000.0
March 2012,23714000.0,266505000.0,186145000.0
June 2012,22622000.0,274929000.0,190148000.0
September 2012,20757000.0,263398000.0,180320000.0
December 2012,27215000.0,370308000.0,260302000.0
March 2013,27867000.0,353138000.0,243211000.0
June 2013,28625000.0,334842000.0,223933000.0
September 2013,28649000.0,373169000.0,263690000.0
December 2013,31312000.0,433108000.0,318034000.0
March 2014,29895000.0,394907000.0,279109000.0
June 2014,29510000.0,407519000.0,292678000.0
September 2014,27769000.0,410357000.0,296252000.0
December 2014,33156000.0,504009000.0,365209000.0
March 2015,35176000.0,476376000.0,337154000.0
June 2015,35293000.0,480633000.0,343807000.0
September 2015,32405000.0,499179000.0,359477000.0
December 2015,31502000.0,521797000.0,380340000.0
March 2016,31942000.0,473156000.0,334991000.0
June 2016,34894000.0,500862000.0,360583000.0
September 2016,32460000.0,501538000.0,359918000.0
