,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,7171250.0,-9616250.0,,,
June 2019,7171250.0,-9616250.0,,,
September 2019,7171250.0,-9616250.0,,,
December 2019,7171250.0,-9616250.0,,,
March 2020,8723000.0,-16380000.0,,,
June 2020,8161000.0,-15054000.0,,,
September 2020,6905000.0,-13003000.0,,,
December 2020,7983000.0,-8788000.0,286286000.0,141368000.0,144918000.0
March 2021,9784000.0,-24374000.0,,,
June 2021,26503000.0,-94922000.0,354511000.0,194396000.0,160115000.0
September 2021,13998000.0,-69129000.0,354296000.0,197843000.0,156453000.0
December 2021,14189000.0,-61138000.0,397265000.0,196056000.0,201209000.0
March 2022,17231000.0,-72037000.0,416317000.0,188019000.0,228298000.0
June 2022,18038000.0,-86009000.0,435816000.0,208708000.0,227108000.0
