,NetIncomeLoss,AssetsCurrent
September 2007,0.0,
December 2007,0.0,
March 2008,-2994.25,
June 2008,-2994.25,
September 2008,-2994.25,
December 2008,-2994.25,
March 2009,-110049.75,
June 2009,-110049.75,
September 2009,-110049.75,
December 2009,-110049.75,
March 2010,-284155.5,
June 2010,-284155.5,
September 2010,-576376.0,
December 2010,-202889.0,14707.0
March 2011,-598075.5,
June 2011,-598075.5,
September 2011,-659803.0,332991.0
