,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,146797.0,32878.0,174910.0,,,
June 2010,155423.0,28338.0,406260.0,,,
September 2010,134009.0,,338464.0,,,
December 2010,,,,15015034.0,11317827.0,3697207.0
March 2011,503724.0,50132.0,488625.0,,,
June 2011,745927.0,35505.0,2170142.0,29409546.0,22857255.0,6552291.0
September 2011,1049637.0,101573.0,466325.0,31037855.0,24782487.0,6255368.0
