,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,-1054000.0,,,
June 2010,,-1054000.0,,,
September 2010,,-1343000.0,,,
December 2010,,-6015000.0,27198000.0,699000.0,26343000.0
March 2011,,-1448000.0,,,
June 2011,,-1984000.0,,,
September 2011,,-1916000.0,34722000.0,2266000.0,31250000.0
December 2011,,-764000.0,35458000.0,1064000.0,33265000.0
March 2012,2379500.0,-2781000.0,38519000.0,3798000.0,33642000.0
June 2012,2379500.0,-3829000.0,,,
September 2012,2125000.0,-3079000.0,37703000.0,1155000.0,33915000.0
December 2012,964000.0,9674494.0,44452000.0,1647000.0,42805000.0
March 2013,1985000.0,-2180000.0,45818.0,1705.0,173.0
June 2013,1600000.0,-2646000.0,45592000.0,1646.0,104.0
September 2013,1500000.0,-1340000.0,41522000.0,2023000.0,39499000.0
December 2013,-1973000.0,1116000.0,41702000.0,2260000.0,39442000.0
March 2014,963000.0,-1752000.0,42076000.0,2635000.0,39441000.0
June 2014,1129000.0,-1680000.0,43973000.0,4189000.0,39784000.0
September 2014,831000.0,-860000.0,43014000.0,2254000.0,40760000.0
December 2014,-50000.0,-374000.0,43030000.0,2128000.0,40902000.0
March 2015,490.0,-750000.0,43936.0,1775.0,42161.0
June 2015,515000.0,-757000.0,46493000.0,2658000.0,43835000.0
September 2015,607000.0,-431000.0,47597000.0,2789000.0,44808000.0
December 2015,1101510.0,-1808000.0,47889000.0,6558000.0,41331000.0
March 2016,1708000.0,-2590000.0,47971000.0,1096000.0,46875000.0
June 2016,635000.0,-1310000.0,49267000.0,1774000.0,47493000.0
September 2016,663000.0,-1035000.0,51634000.0,3226000.0,48408000.0
December 2016,871000.0,-3184000.0,47767000.0,3180000.0,44587000.0
March 2017,528000.0,-1039000.0,47000000.0,2016000.0,44984000.0
June 2017,297000.0,-1277000.0,47267000.0,2670000.0,44597000.0
September 2017,719000.0,-1357000.0,47481000.0,1741000.0,45740000.0
December 2017,8185000.0,,38152000.0,70000.0,38082000.0
March 2018,870000.0,-1719000.0,38056000.0,70000.0,37986000.0
June 2018,515000.0,,30902000.0,107000.0,30795000.0
September 2018,2478000.0,,30921000.0,144000.0,30777000.0
December 2018,2630000.0,,30695000.0,64000.0,30595000.0
March 2019,464000.0,,30604000.0,66000.0,30538000.0
June 2019,405000.0,,30687000.0,209000.0,30478000.0
September 2019,-497000.0,,45499000.0,481000.0,45018000.0
