,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2009,94246250.0,508144000.0,,,
December 2009,94246250.0,508144000.0,,,
March 2010,94246250.0,508144000.0,,,
June 2010,94246250.0,508144000.0,,,
September 2010,120492500.0,597827000.0,,,
December 2010,120492500.0,556201000.0,,,
March 2011,120492500.0,690327000.0,,,
June 2011,120492500.0,670632000.0,,,
September 2011,139902750.0,702398000.0,15731510000.0,11471183000.0,4260327000.0
December 2011,139902750.0,702868000.0,15290845000.0,10992719000.0,4298126000.0
March 2012,139902750.0,750695000.0,15808096000.0,11554680000.0,4253416000.0
June 2012,139902750.0,628611000.0,15535915000.0,11458026000.0,4077889000.0
September 2012,178773500.0,756057000.0,16665415000.0,12587931000.0,4077484000.0
December 2012,178773500.0,1177516000.0,16408020000.0,12013526000.0,4394494000.0
March 2013,178773500.0,861530000.0,16358730000.0,12016949000.0,4341781000.0
June 2013,178773500.0,713348000.0,16523758000.0,12078919000.0,4444839000.0
September 2013,159878250.0,799201000.0,16867049000.0,11844178000.0,5022871000.0
December 2013,159878250.0,712635000.0,16515938000.0,11291459000.0,5224479000.0
March 2014,159878250.0,867046000.0,16357209000.0,10633880000.0,5723329000.0
June 2014,159878250.0,743139000.0,17002384000.0,11134693000.0,5867691000.0
