,OperatingExpenses,Assets,AssetsCurrent
March 2011,,,
June 2011,,488515000.0,78505000.0
September 2011,,623333000.0,83096000.0
December 2011,,640871000.0,102392000.0
March 2012,,625741000.0,68850000.0
June 2012,,689985000.0,113922000.0
September 2012,,668929000.0,110074000.0
December 2012,,679075000.0,134681000.0
March 2013,,659447000.0,120250000.0
June 2013,,658079000.0,121490000.0
September 2013,,641487000.0,109558000.0
December 2013,,652960000.0,125996000.0
March 2014,,631026000.0,108941000.0
June 2014,,648836000.0,130835000.0
September 2014,1476500.0,909853000.0,79178000.0
December 2014,1476500.0,921726000.0,80001000.0
March 2015,,895184000.0,60110000.0
