,NetIncomeLoss,Assets
March 2013,-11000.0,
June 2013,53000.0,
September 2013,71000.0,
December 2013,28000.0,194439000.0
March 2014,44000.0,201411000.0
June 2014,-330000.0,311779000.0
September 2014,39000.0,222852000.0
December 2014,-2214000.0,229820000.0
March 2015,-353000.0,247577000.0
June 2015,-151000.0,476989000.0
September 2015,49000.0,442085000.0
December 2015,-1776000.0,507265000.0
March 2016,154000.0,523067000.0
June 2016,73000.0,514729000.0
September 2016,244000.0,563992000.0
December 2016,-514000.0,931435000.0
March 2017,1630000.0,956378000.0
June 2017,1801000.0,955885000.0
September 2017,1576000.0,943633000.0
