,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,25113250.0,-6567500.0,,
June 2009,,25113250.0,-6567500.0,,
September 2009,,25113250.0,-6567500.0,,
December 2009,,25113250.0,-6567500.0,,
March 2010,1375000.0,42381000.0,-15969000.0,,
June 2010,1375000.0,42555000.0,-1460000.0,,
September 2010,1375000.0,44101000.0,-30059000.0,,
December 2010,1375000.0,7435000.0,-1269000.0,984041000.0,333339000.0
March 2011,2100000.0,36117000.0,-6974000.0,,
June 2011,2100000.0,44767000.0,6378000.0,976368000.0,334467000.0
September 2011,2100000.0,30395000.0,8096000.0,1252112000.0,405539000.0
December 2011,2100000.0,-1248000.0,57459000.0,1029906000.0,360221000.0
March 2012,2950000.0,54051000.0,-786000.0,1073192000.0,293778000.0
June 2012,2950000.0,39901000.0,76000.0,,
September 2012,2950000.0,39422000.0,3486000.0,989811000.0,295969000.0
December 2012,2950000.0,27767000.0,-6718000.0,955201000.0,267659000.0
March 2013,4000000.0,41209000.0,1594000.0,965498000.0,285589000.0
June 2013,4000000.0,40994000.0,-569000.0,980292000.0,312086000.0
September 2013,4000000.0,42468000.0,73387000.0,1107681000.0,443860000.0
December 2013,4000000.0,1023000.0,-6348000.0,1044913000.0,399133000.0
March 2014,3925000.0,46173000.0,4659000.0,1096182000.0,407413000.0
June 2014,3925000.0,48080000.0,5719000.0,1129440000.0,443053000.0
September 2014,3925000.0,39686000.0,261098000.0,1344862000.0,268898000.0
December 2014,3925000.0,47744000.0,7359000.0,1547430000.0,320799000.0
March 2015,525000.0,44028000.0,-24902000.0,1508855000.0,316293000.0
June 2015,525000.0,33945000.0,24457000.0,1530696000.0,339775000.0
September 2015,525000.0,38975000.0,164500000.0,1476136000.0,357721000.0
December 2015,525000.0,19451000.0,-2217000.0,1421042000.0,291363000.0
March 2016,425000.0,42287000.0,-16023000.0,1392239000.0,299603000.0
June 2016,425000.0,46738000.0,19239000.0,1449731000.0,247561000.0
September 2016,425000.0,53648000.0,49705000.0,1845754000.0,455190000.0
December 2016,425000.0,75157000.0,1764000.0,1777155000.0,452819000.0
March 2017,350000.0,78723000.0,-21605000.0,1686507000.0,514726000.0
June 2017,350000.0,79575000.0,-4112000.0,1802945000.0,489497000.0
September 2017,350000.0,80804000.0,7706000.0,1820806000.0,509560000.0
December 2017,350000.0,22414000.0,41002000.0,1820303000.0,526818000.0
March 2018,400000.0,97865000.0,-2341000.0,2257746000.0,632554000.0
June 2018,400000.0,100407000.0,-908000.0,2271296000.0,648082000.0
September 2018,400000.0,79577000.0,4726000.0,2437765000.0,711810000.0
December 2018,400000.0,42236000.0,-7179000.0,2372335000.0,681185000.0
March 2019,225000.0,93199000.0,109308000.0,2369626000.0,705205000.0
June 2019,225000.0,80312000.0,216534000.0,,
September 2019,225000.0,82027000.0,-27785000.0,2134220000.0,881457000.0
December 2019,225000.0,79643000.0,3808000.0,1891892000.0,644272000.0
March 2020,750000.0,83800000.0,3665000.0,2045497000.0,814463000.0
June 2020,750000.0,84014000.0,-8437000.0,2141524000.0,747987000.0
September 2020,750000.0,93036000.0,19186000.0,2191984000.0,800675000.0
December 2020,750000.0,110414000.0,8366000.0,2598518000.0,708367000.0
March 2021,2975000.0,110968000.0,18994000.0,3291164000.0,1380996000.0
June 2021,2975000.0,114022000.0,-14630000.0,2661147000.0,772600000.0
September 2021,2975000.0,118818000.0,88100000.0,2840293000.0,864361000.0
December 2021,2975000.0,115396000.0,22088000.0,3144261000.0,1143469000.0
March 2022,,120672000.0,23762000.0,3137529000.0,1151192000.0
June 2022,,125624000.0,26367000.0,3203333000.0,1229683000.0
