,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2018,22943750.0,-2300250.0,
June 2018,22943750.0,-2300250.0,
September 2018,22943750.0,-2300250.0,
December 2018,22943750.0,-2300250.0,309952000.0
March 2019,22655000.0,902500.0,
June 2019,22655000.0,902500.0,
September 2019,23194000.0,13612000.0,356481000.0
December 2019,22326000.0,-1680000.0,361507000.0
March 2020,21320000.0,-21923000.0,332852000.0
June 2020,13718000.0,-8657000.0,416736000.0
September 2020,18110000.0,-8252000.0,387447000.0
December 2020,12733000.0,-3455000.0,447656000.0
March 2021,13198000.0,2345000.0,441951000.0
June 2021,14039000.0,20120000.0,536659000.0
September 2021,22670000.0,19192000.0,549254000.0
December 2021,26107000.0,5254000.0,533355000.0
March 2022,27364000.0,-1816000.0,532372000.0
June 2022,30061000.0,10455000.0,543197000.0
