,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,16127500.0,6054000.0,-3893000.0,,,
June 2019,16127500.0,6054000.0,-3893000.0,,,
September 2019,16127500.0,6054000.0,-3893000.0,,,
December 2019,16127500.0,6054000.0,-3893000.0,,,
March 2020,19413000.0,6779000.0,-4984000.0,,,
June 2020,16838000.0,6489000.0,-11006000.0,,,
September 2020,22505000.0,7275000.0,-6434000.0,,,
December 2020,22508000.0,9024000.0,-36339000.0,90954000.0,53462000.0,37492000.0
March 2021,30732000.0,10899000.0,-15556000.0,,,
June 2021,31751000.0,11787000.0,-2719000.0,112136000.0,65782000.0,46354000.0
September 2021,33690000.0,12363000.0,-25150000.0,267471000.0,220458000.0,47013000.0
December 2021,39204000.0,13327000.0,-15926000.0,223293000.0,175647000.0,47646000.0
March 2022,40927000.0,14873000.0,-16926000.0,209314000.0,156826000.0,52488000.0
June 2022,42195000.0,14441000.0,-17347000.0,219140000.0,140743000.0,78397000.0
