,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2013,250.0,0.0,,-250.0,,,
June 2013,68017.0,0.0,2068.0,-13534.0,,,
September 2013,59730.0,0.0,7779.0,18686.0,215095.0,176595.0,38500.0
December 2013,114091.0,0.0,,36395.0,312606.0,291694.0,
March 2014,126213.0,0.0,,72303.0,462232.0,431775.0,
June 2014,96737.0,0.0,,85619.0,708176.0,679770.0,
September 2014,121216.0,0.0,,63162.0,909898.0,887253.0,
December 2014,326814.0,,,-318860.0,803039.0,320024.0,
March 2015,65083.0,,,113437.0,,,
June 2015,43668.0,,,-1473.0,644201.0,344054.0,
