,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2016,,66450000.0,196200000.0,-11975000.0,,
June 2016,,66450000.0,196200000.0,-11975000.0,,
September 2016,,66450000.0,196200000.0,-11975000.0,,
December 2016,,66450000.0,196200000.0,-11975000.0,,
March 2017,258300000.0,63900000.0,194150000.0,-98300000.0,,
June 2017,257800000.0,63900000.0,194150000.0,-30200000.0,,
September 2017,256600000.0,61900000.0,194700000.0,-20700000.0,,
December 2017,258800000.0,62000000.0,196800000.0,-161500000.0,8940300000.0,2123700000.0
March 2018,245200000.0,65200000.0,180000000.0,72700000.0,,
June 2018,252500000.0,61400000.0,191100000.0,-62800000.0,,
September 2018,237900000.0,58900000.0,179000000.0,60200000.0,9211500000.0,2703700000.0
December 2018,246200000.0,61100000.0,185100000.0,16400000.0,8956700000.0,2504900000.0
March 2019,245200000.0,64100000.0,181100000.0,31500000.0,8747400000.0,2278300000.0
June 2019,269700000.0,68800000.0,200900000.0,35900000.0,8856900000.0,2383500000.0
September 2019,262200000.0,69900000.0,192300000.0,10000000.0,8823700000.0,2310400000.0
December 2019,253200000.0,67200000.0,185700000.0,-9500000.0,8985800000.0,2373100000.0
March 2020,,66800000.0,182000000.0,-49000000.0,9727200000.0,3120600000.0
June 2020,,59400000.0,162800000.0,-53200000.0,9876000000.0,3191300000.0
September 2020,,88100000.0,277700000.0,-135000000.0,17237000000.0,3281400000.0
December 2020,486800000.0,112700000.0,373500000.0,-322800000.0,17693000000.0,3417000000.0
March 2021,,89000000.0,348000000.0,-61000000.0,16988000000.0,3344000000.0
June 2021,,94000000.0,385000000.0,-210000000.0,16833000000.0,3431000000.0
September 2021,,94000000.0,342000000.0,-104000000.0,16565000000.0,3160000000.0
December 2021,,92000000.0,329000000.0,-97000000.0,16483000000.0,3276000000.0
March 2022,,81000000.0,320000000.0,48000000.0,16251000000.0,3194000000.0
June 2022,,82000000.0,343000000.0,-22000000.0,15601000000.0,3307000000.0
