,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,3523000.0,,,
June 2009,3523000.0,,,
September 2009,3523000.0,,,
December 2009,3523000.0,,,
March 2010,2845000.0,,,
June 2010,4508000.0,,,
September 2010,4836000.0,,,
December 2010,4651000.0,255632000.0,64098000.0,
March 2011,3779000.0,,,
June 2011,4543000.0,256273000.0,64806000.0,
September 2011,5976000.0,258013000.0,66943000.0,
December 2011,3602000.0,257073000.0,64780000.0,
March 2012,,262562000.0,70526000.0,
June 2012,,263646000.0,71891000.0,
September 2012,,269196000.0,76910000.0,
December 2012,,890947000.0,179814000.0,
March 2013,,879939000.0,177701000.0,
June 2013,,867413000.0,172997000.0,
September 2013,,874836000.0,173766000.0,
December 2013,,862375000.0,169246000.0,
March 2014,,867207000.0,180077000.0,
June 2014,,840925000.0,161194000.0,
September 2014,,824795000.0,153492000.0,
December 2014,,825750000.0,156251000.0,
March 2015,,820306000.0,156959000.0,
June 2015,,814899000.0,160697000.0,
September 2015,,800751000.0,153776000.0,
December 2015,,784100000.0,137700000.0,
March 2016,5775000.0,796300000.0,172200000.0,
June 2016,5775000.0,785600000.0,166300000.0,
September 2016,5775000.0,778900000.0,163500000.0,
December 2016,5775000.0,778600000.0,156600000.0,
March 2017,6000000.0,773900000.0,158400000.0,
June 2017,16200000.0,769700000.0,158100000.0,
September 2017,11200000.0,765900000.0,158500000.0,
December 2017,7800000.0,762900000.0,160600000.0,
March 2018,15300000.0,765400000.0,176300000.0,
June 2018,15300000.0,761000000.0,175700000.0,
September 2018,13500000.0,753400000.0,169700000.0,
December 2018,9100000.0,1072300000.0,207800000.0,
March 2019,10600000.0,1515200000.0,194300000.0,
June 2019,15200000.0,1491800000.0,198500000.0,
September 2019,14200000.0,1475800000.0,195300000.0,
December 2019,8800000.0,1479600000.0,211100000.0,1268500000.0
