,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,49871000.0,32229250.0,,
June 2009,49871000.0,32229250.0,,
September 2009,49871000.0,32229250.0,,
December 2009,49871000.0,32229250.0,,
March 2010,42081000.0,30167000.0,,
June 2010,40459000.0,35599000.0,,
September 2010,36788000.0,31835000.0,,
December 2010,40149000.0,28976000.0,222018000.0,112845000.0
March 2011,34080000.0,29877000.0,,
June 2011,37025000.0,33022000.0,232096000.0,127326000.0
September 2011,38769000.0,34559000.0,233969000.0,132794000.0
December 2011,37464000.0,33387000.0,222963000.0,124714000.0
March 2012,34569000.0,31093000.0,232605000.0,134078000.0
June 2012,41463000.0,38107000.0,241297000.0,143435000.0
September 2012,41920000.0,38129000.0,245375000.0,145948000.0
December 2012,37932000.0,34098000.0,230361000.0,130420000.0
March 2013,34032000.0,30900000.0,239263000.0,142347000.0
June 2013,40696000.0,37617000.0,251328000.0,155455000.0
September 2013,41545000.0,38425000.0,263732000.0,167469000.0
