,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2011,4225000.0,5903750.0,,,
June 2011,4225000.0,5903750.0,,,
September 2011,4225000.0,5903750.0,,,
December 2011,4225000.0,5903750.0,,,
March 2012,5450000.0,-3466000.0,,,
June 2012,5450000.0,2900000.0,,,
September 2012,6000000.0,-13044000.0,,,
December 2012,6700000.0,-19104000.0,432115000.0,155345000.0,276770000.0
March 2013,7700000.0,-14477000.0,,,
June 2013,7400000.0,-55989000.0,,,
September 2013,-300000.0,-18718000.0,689104000.0,337857000.0,351247000.0
December 2013,15000000.0,-22105000.0,689000000.0,321965000.0,367035000.0
March 2014,8400000.0,-16866000.0,669431000.0,279206000.0,390225000.0
June 2014,9300000.0,-18662000.0,667857000.0,256093000.0,411764000.0
September 2014,9500000.0,-24899000.0,744986000.0,309323000.0,435663000.0
December 2014,12900000.0,-24111000.0,767640000.0,294894000.0,472746000.0
March 2015,9900000.0,-20092000.0,990158000.0,479028000.0,511130000.0
June 2015,10100000.0,-24772000.0,995775000.0,474998000.0,520777000.0
September 2015,11400000.0,-28870000.0,1007842000.0,471267000.0,536575000.0
December 2015,18700000.0,-33879000.0,1004353000.0,468007000.0,536346000.0
March 2016,11900000.0,-24106000.0,986022000.0,426287000.0,559735000.0
June 2016,10800000.0,-40194000.0,1205327000.0,622179000.0,583148000.0
September 2016,11800000.0,-33273000.0,1224224000.0,612755000.0,611469000.0
December 2016,11400000.0,-26932000.0,1246196000.0,604730000.0,641466000.0
March 2017,22100000.0,-41367000.0,1270070000.0,584256000.0,685814000.0
June 2017,17200000.0,-44209000.0,1277256000.0,539665000.0,737591000.0
September 2017,18600000.0,-45281000.0,1362911000.0,591938000.0,770973000.0
December 2017,20200000.0,-41138000.0,1403175000.0,592897000.0,810278000.0
March 2018,19200000.0,-27419000.0,1300142000.0,628830000.0,671312000.0
June 2018,18000000.0,-37207000.0,1304308000.0,618343000.0,685965000.0
September 2018,19200000.0,-37717000.0,1248462000.0,579635000.0,668827000.0
December 2018,16300000.0,-59688000.0,1265096000.0,585526000.0,679570000.0
March 2019,14100000.0,-16799000.0,1296810000.0,491975000.0,804835000.0
June 2019,17600000.0,-83963000.0,1282148000.0,477833000.0,804315000.0
September 2019,8100000.0,-22891000.0,1280374000.0,478801000.0,801573000.0
December 2019,31700000.0,-22351000.0,1214700000.0,424825000.0,789875000.0
March 2020,15700000.0,-84778000.0,1191470000.0,466489000.0,724981000.0
June 2020,10900000.0,-85979000.0,1064815000.0,390473000.0,674342000.0
September 2020,4500000.0,-80124000.0,984455000.0,819034000.0,165421000.0
December 2020,-5900000.0,845000.0,673588000.0,512226000.0,161362000.0
March 2021,5500000.0,-7685000.0,687732000.0,529569000.0,158163000.0
June 2021,6500000.0,-69248000.0,352036000.0,188397000.0,163639000.0
September 2021,6000000.0,10959000.0,443205000.0,240472000.0,202733000.0
December 2021,6900000.0,218709000.0,647687000.0,249914000.0,397773000.0
March 2022,5400000.0,22196000.0,685275000.0,271052000.0,414223000.0
June 2022,8000000.0,22017000.0,723566000.0,300001000.0,423565000.0
