,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2017,43750.0,,,-43750.0,
June 2017,43750.0,,,-43750.0,
September 2017,43750.0,,,-43750.0,
December 2017,43750.0,,,-43750.0,
March 2018,298848.0,18333.0,,-1048848.0,
June 2018,400209.0,59388.0,,-875209.0,
September 2018,24719045.0,77700.0,,-27005729.0,
December 2018,-19619149.0,95219.0,,18422693.0,1797156.0
March 2019,583138.0,151290.0,,-635673.0,1354477.0
June 2019,1982982.0,145158.0,,-2033226.0,822495.0
September 2019,-784159.0,256928.0,,770305.0,334317.0
December 2019,765691.0,337750.0,,-6482494.0,148245.0
March 2020,1738392.0,344682.0,140374.0,-698179.0,240925.0
June 2020,917556.0,335673.0,158732.0,-1778599.0,530879.0
September 2020,8676183.0,287020.0,1323553.0,-11657324.0,4007842.0
December 2020,6010876.0,572142.0,536934.0,-10600178.0,15268051.0
March 2021,3393129.0,625445.0,241532.0,-3391746.0,14090413.0
June 2021,4328701.0,565692.0,478127.0,-4108719.0,12895785.0
September 2021,4779988.0,613057.0,625357.0,-4777957.0,11079074.0
December 2021,4628275.0,781602.0,232158.0,-15620425.0,17284196.0
March 2022,6728603.0,1024587.0,1137104.0,-7133692.0,13303085.0
June 2022,4868615.0,850444.0,2080275.0,-5104576.0,91880061.0
