,NetIncomeLoss,AssetsCurrent
December 2008,37590.75,
March 2009,37590.75,
June 2009,37590.75,
September 2009,37590.75,
December 2009,20510.0,
March 2010,20510.0,
June 2010,-1005.0,
September 2010,-2029.0,
December 2010,12177.0,
March 2011,12696.0,
June 2011,27156.0,
September 2011,37338.0,
December 2011,49500.0,
