,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2011,5463250.0,1537000.0,-1731250.0,,,
June 2011,5463250.0,1537000.0,-1731250.0,,,
September 2011,5463250.0,1537000.0,-1731250.0,,,
December 2011,5463250.0,1537000.0,-1731250.0,,,
March 2012,6655250.0,1419500.0,-4348500.0,,,
June 2012,6655250.0,1419500.0,-4348500.0,,,
September 2012,6655250.0,1419500.0,-4348500.0,,,
December 2012,6655250.0,1419500.0,-4348500.0,57002000.0,40852000.0,
March 2013,4249000.0,857000.0,-3006000.0,,,
June 2013,4991000.0,1131000.0,-2273000.0,,,
September 2013,218000.0,1175000.0,1750000.0,,,
December 2013,7082000.0,1705000.0,481000.0,46096000.0,34725000.0,
March 2014,5390000.0,1160000.0,-3364000.0,36654000.0,25667000.0,
June 2014,5311000.0,1221000.0,-2219000.0,34760000.0,24037000.0,
September 2014,4825000.0,1281000.0,-1997000.0,31728000.0,21725000.0,
December 2014,3270000.0,480000.0,-2344000.0,37381000.0,26931000.0,
March 2015,4348000.0,968000.0,-1769000.0,34916000.0,25242000.0,
June 2015,4568000.0,937000.0,-2014000.0,34227000.0,24228000.0,
September 2015,4372000.0,807000.0,-2009000.0,31072000.0,21072000.0,
December 2015,2757000.0,724000.0,-1359000.0,28662000.0,18835000.0,
March 2016,3292000.0,751000.0,-865000.0,28508000.0,18744000.0,
June 2016,3211000.0,784000.0,1313000.0,28564000.0,19379000.0,
September 2016,2774000.0,604000.0,-67000.0,28572000.0,21220000.0,
December 2016,2817000.0,671000.0,-1209000.0,28705000.0,21864000.0,
March 2017,2900000.0,702000.0,-865000.0,28367000.0,21346000.0,
June 2017,3320000.0,889000.0,93000.0,28076000.0,20903000.0,
September 2017,2913000.0,823000.0,868000.0,28926000.0,21918000.0,
December 2017,3521000.0,891000.0,-694000.0,27570000.0,20472000.0,
March 2018,3372000.0,820000.0,-333000.0,26929000.0,19763000.0,
June 2018,3343000.0,815000.0,-280000.0,26341000.0,19770000.0,
September 2018,3467000.0,777000.0,-184000.0,22299000.0,15963000.0,
December 2018,2947000.0,763000.0,534000.0,22122000.0,16022000.0,
March 2019,3121000.0,871000.0,-1745000.0,20627000.0,14151000.0,
June 2019,3183000.0,817000.0,-899000.0,22419000.0,15623000.0,
September 2019,2768000.0,840000.0,-1210000.0,20484000.0,13738000.0,
December 2019,3059000.0,806000.0,-2035000.0,19853000.0,12432000.0,7421000.0
March 2020,3017000.0,898000.0,-669000.0,19783000.0,11111000.0,
June 2020,2872000.0,904000.0,-1123000.0,20878000.0,12005000.0,
September 2020,3014000.0,841000.0,-1621000.0,19567000.0,10568000.0,
December 2020,878000.0,888000.0,-2720000.0,16986000.0,12162000.0,4824000.0
March 2021,2189000.0,838000.0,-3161000.0,16972000.0,12416000.0,4556000.0
June 2021,2371000.0,900000.0,-2722000.0,14469000.0,10157000.0,4312000.0
September 2021,2411000.0,946000.0,-1515000.0,13658000.0,9457000.0,4201000.0
December 2021,3023000.0,1034000.0,-4261000.0,12536000.0,8448000.0,4088000.0
March 2022,2164000.0,731000.0,-960000.0,12422000.0,8661000.0,3761000.0
